sample,t_us,dt_us,dacV_code,dacI_code,adcV_raw,adcI_raw,adcV_V,adcI_V
99,49000,500,865,2872,702,2725,0.708000,2.335000
100,49500,500,1054,2693,899,2540,0.860000,2.191000
101,50000,500,1301,2456,1140,2304,1.062000,1.998000
102,50500,500,1600,2190,1442,2035,1.304000,1.783000
103,51000,500,1941,1921,1781,1772,1.578000,1.569000
104,51500,500,2303,1665,2142,1515,1.869000,1.361000
105,52000,500,2647,1440,2483,1286,2.141000,1.178000
106,52500,500,2932,1246,2771,1091,2.374000,1.020000
107,53000,500,3148,1098,3008,938,2.542000,0.903000
108,53500,500,3302,992,3182,832,2.663000,0.812000
109,54000,500,3406,907,3293,748,2.738000,0.752000
110,54500,500,3472,859,3379,700,2.787000,0.704000
111,55000,500,3509,842,3422,681,2.813000,0.693000
112,55500,500,3513,859,3427,699,2.817000,0.704000
113,56000,500,3488,925,3397,765,2.798000,0.759000
114,56500,500,3429,1014,3320,853,2.754000,0.827000
115,57000,500,3326,1123,3198,962,2.678000,0.916000
116,57500,500,3173,1282,3024,1130,2.560000,1.052000
117,58000,500,2964,1483,2805,1329,2.398000,1.213000
118,58500,500,2699,1726,2538,1579,2.184000,1.416000
119,59000,500,2387,2000,2224,1847,1.934000,1.630000
120,59500,500,2033,2252,1871,2103,1.651000,1.831000
121,60000,500,1675,2516,1516,2364,1.364000,2.046000
122,60500,500,1345,2728,1185,2559,1.097000,2.204000
123,61000,500,1084,2907,922,2759,0.885000,2.366000
124,61500,500,887,3044,723,2899,0.724000,2.473000
125,62000,500,755,3133,593,2995,0.620000,2.538000
126,62500,500,662,3206,498,3071,0.542000,2.592000
127,63000,500,607,3243,443,3119,0.501000,2.622000
128,63500,500,581,3245,417,3120,0.480000,2.624000
129,64000,500,588,3211,427,3087,0.485000,2.602000
130,64500,500,622,3138,460,3002,0.512000,2.543000
131,65000,500,696,3052,540,2899,0.572000,2.481000
132,65500,500,814,2920,653,2772,0.666000,2.374000
133,66000,500,983,2756,819,2608,0.802000,2.243000
134,66500,500,1211,2538,1052,2385,0.990000,2.064000
135,67000,500,1495,2276,1334,2127,1.221000,1.856000
136,67500,500,1821,2008,1665,1856,1.483000,1.638000
137,68000,500,2182,1761,2019,1611,1.770000,1.442000
138,68500,500,2535,1505,2373,1350,2.054000,1.230000
139,69000,500,2845,1305,2686,1150,2.305000,1.066000
140,69500,500,3081,1141,2928,987,2.493000,0.932000
141,70000,500,3258,1026,3121,867,2.624000,0.840000
142,70500,500,3375,935,3261,775,2.714000,0.766000
143,71000,500,3454,872,3351,710,2.771000,0.715000
144,71500,500,3501,835,3410,673,2.810000,0.685000
145,72000,500,3515,852,3435,690,2.818000,0.698000
146,72500,500,3499,902,3409,742,2.806000,0.735000
147,73000,500,3453,984,3346,822,2.770000,0.805000
148,73500,500,3366,1090,3248,931,2.708000,0.891000
149,74000,500,3231,1220,3093,1069,2.607000,1.001000
150,74500,500,3041,1405,2883,1251,2.465000,1.150000
151,75000,500,2795,1650,2636,1497,2.267000,1.346000
152,75500,500,2496,1905,2336,1754,2.022000,1.556000
153,76000,500,2156,2178,1996,2029,1.751000,1.775000
154,76500,500,1793,2426,1642,2274,1.462000,1.975000
155,77000,500,1448,2655,1289,2501,1.181000,2.159000
156,77500,500,1163,2843,999,2694,0.947000,2.312000
157,78000,500,947,2997,784,2850,0.774000,2.438000
158,78500,500,793,3100,630,2960,0.649000,2.513000
159,79000,500,688,3180,527,3047,0.567000,2.574000
160,79500,500,622,3238,460,3114,0.512000,2.620000
161,80000,500,585,3255,421,3132,0.483000,2.633000
162,80500,500,582,3233,419,3109,0.480000,2.616000
163,81000,500,607,3165,443,3026,0.502000,2.563000
164,81500,500,667,3081,503,2939,0.546000,2.499000
165,82000,500,768,2972,605,2828,0.629000,2.420000
166,82500,500,921,2816,760,2668,0.755000,2.291000
167,83000,500,1130,2619,967,2467,0.920000,2.129000
168,83500,500,1393,2372,1232,2222,1.135000,1.932000
169,84000,500,1706,2103,1535,1952,1.379000,1.714000
170,84500,500,2060,1847,1903,1697,1.676000,1.510000
171,85000,500,2416,2138,2256,1985,1.960000,1.741000
172,85500,500,2685,1929,2517,1777,2.175000,1.574000
