sample,t_us,dt_us,dacV_code,dacI_code,adcV_raw,adcI_raw,adcV_V,adcI_V
483,241000,500,1817,2016,1662,1867,1.482000,1.641000
484,241500,500,1928,2028,1771,1874,1.571000,1.652000
485,242000,500,2040,2024,1881,1872,1.657000,1.650000
486,242500,500,2148,2020,1986,1869,1.744000,1.647000
487,243000,500,2245,2020,2091,1870,1.819000,1.649000
488,243500,500,2343,2024,2183,1872,1.900000,1.650000
489,244000,500,2446,2020,2287,1871,1.985000,1.648000
490,244500,500,2526,2020,2365,1871,2.050000,1.649000
491,245000,500,2589,2020,2427,1871,2.099000,1.646000
492,245500,500,2625,2024,2462,1872,2.125000,1.650000
493,246000,500,2655,2024,2490,1872,2.149000,1.650000
494,246500,500,2676,2036,2512,1886,2.165000,1.660000
495,247000,500,2673,2020,2512,1870,2.163000,1.648000
496,247500,500,2644,2036,2480,1885,2.140000,1.660000
497,248000,500,2589,2028,2429,1875,2.096000,1.653000
498,248500,500,2521,2040,2358,1888,2.044000,1.664000
499,249000,500,2442,2040,2284,1889,1.978000,1.665000
500,249500,500,2342,2040,2179,1887,1.899000,1.665000
501,250000,500,2229,2044,2073,1893,1.811000,1.668000
502,250500,500,2104,2032,1943,1881,1.707000,1.656000
503,251000,500,1985,2032,1826,1879,1.616000,1.657000
504,251500,500,1863,2028,1709,1877,1.516000,1.654000
505,252000,500,1758,2032,1602,1881,1.433000,1.655000
506,252500,500,1639,2032,1483,1879,1.338000,1.656000
507,253000,500,1553,2036,1396,1887,1.265000,1.661000
508,253500,500,1481,2028,1323,1876,1.208000,1.652000
509,254000,500,1417,2032,1259,1879,1.156000,1.657000
510,254500,500,1364,2028,1207,1876,1.113000,1.653000
511,255000,500,1327,2028,1168,1876,1.083000,1.653000
512,255500,500,1320,2020,1163,1869,1.077000,1.649000
513,256000,500,1350,2024,1193,1872,1.102000,1.651000
514,256500,500,1393,2024,1232,1872,1.137000,1.650000
515,257000,500,1440,2024,1280,1872,1.173000,1.650000
516,257500,500,1512,2024,1356,1872,1.234000,1.650000
517,258000,500,1594,2020,1435,1869,1.300000,1.648000
518,258500,500,1710,2024,1555,1872,1.395000,1.650000
519,259000,500,1829,2032,1676,1879,1.490000,1.656000
520,259500,500,1944,2028,1785,1875,1.583000,1.653000
521,260000,500,2067,2028,1907,1874,1.678000,1.653000
522,260500,500,2194,2024,2032,1872,1.779000,1.650000
523,261000,500,2321,2028,2160,1873,1.882000,1.653000
524,261500,500,2433,2028,2272,1875,1.975000,1.652000
525,262000,500,2519,2024,2355,1872,2.039000,1.650000
526,262500,500,2594,2032,2434,1879,2.100000,1.656000
527,263000,500,2654,2032,2488,1879,2.146000,1.658000
528,263500,500,2711,2032,2545,1878,2.192000,1.655000
529,264000,500,2737,2032,2559,1879,2.204000,1.656000
530,264500,500,2737,2028,2559,1876,2.204000,1.654000
531,265000,500,2713,2032,2557,1878,2.194000,1.657000
532,265500,500,2672,2032,2507,1883,2.162000,1.656000
533,266000,500,2623,2032,2459,1877,2.126000,1.656000
534,266500,500,2556,2036,2395,1885,2.075000,1.661000
535,267000,500,2468,2040,2308,1888,2.000000,1.665000
536,267500,500,2370,2028,2210,1875,1.922000,1.653000
537,268000,500,2254,2040,2096,1889,1.831000,1.661000
538,268500,500,2142,2044,1984,1894,1.740000,1.667000
539,269000,500,2025,2036,1867,1884,1.645000,1.661000
540,269500,500,1921,2036,1763,1885,1.561000,1.659000
541,270000,500,1819,2024,1662,1872,1.481000,1.650000
542,270500,500,1719,2028,1565,1873,1.403000,1.653000
543,271000,500,1625,2032,1467,1879,1.323000,1.657000
544,271500,500,1544,2032,1387,1877,1.259000,1.656000
545,272000,500,1490,2024,1329,1872,1.213000,1.650000
546,272500,500,1465,2020,1305,1869,1.195000,1.649000
547,273000,500,1453,2016,1294,1865,1.186000,1.643000
548,273500,500,1453,2016,1294,1863,1.184000,1.645000
549,274000,500,1461,2024,1299,1872,1.190000,1.650000
550,274500,500,1494,2020,1335,1870,1.218000,1.649000
551,275000,500,1549,2024,1391,1872,1.263000,1.650000
552,275500,500,1613,2020,1456,1870,1.315000,1.651000
553,276000,500,1682,2028,1522,1875,1.367000,1.653000
554,276500,500,1756,2016,1603,1865,1.427000,1.645000
555,277000,500,1846,2024,1686,1872,1.501000,1.650000
556,277500,500,1946,2020,1791,1868,1.582000,1.648000
557,278000,500,2041,2028,1881,1875,1.656000,1.652000
558,278500,500,2125,2024,1966,1872,1.726000,1.650000
559,279000,500,2199,2024,2039,1872,1.781000,1.650000
560,279500,500,2274,2028,2114,1872,1.845000,1.653000
561,280000,500,2349,2036,2189,1886,1.906000,1.659000
562,280500,500,2406,2036,2245,1884,1.949000,1.659000
563,281000,500,2441,2028,2282,1875,1.978000,1.653000
564,281500,500,2452,2044,2291,1892,1.987000,1.667000
565,282000,500,2458,2040,2297,1888,1.990000,1.664000
566,282500,500,2454,2032,2291,1879,1.988000,1.656000
567,283000,500,2437,2036,2274,1883,1.975000,1.662000
568,283500,500,2405,2040,2251,1889,1.948000,1.662000
569,284000,500,2362,2032,2203,1881,1.917000,1.656000
570,284500,500,2311,2048,2150,1897,1.877000,1.670000
571,285000,500,2258,2036,2099,1882,1.832000,1.662000
572,285500,500,2196,2036,2033,1887,1.781000,1.661000
573,286000,500,2140,2032,1979,1879,1.736000,1.656000
574,286500,500,2085,2040,1933,1889,1.694000,1.664000
575,287000,500,2032,2036,1870,1886,1.650000,1.660000
576,287500,500,1973,2028,1815,1875,1.601000,1.653000
577,288000,500,1914,2044,1759,1893,1.557000,1.667000
578,288500,500,1869,2028,1712,1875,1.521000,1.651000
579,289000,500,1848,2032,1691,1882,1.505000,1.656000
580,289500,500,1840,2028,1683,1873,1.496000,1.653000
581,290000,500,1838,2020,1680,1871,1.495000,1.649000
582,290500,500,1832,2020,1676,1870,1.495000,1.646000
583,291000,500,1840,2016,1682,1867,1.497000,1.645000
584,291500,500,1865,2024,1709,1872,1.520000,1.650000
585,292000,500,1900,2020,1742,1869,1.546000,1.648000
586,292500,500,1932,2024,1776,1872,1.572000,1.650000
587,293000,500,1958,2020,1805,1868,1.591000,1.649000
588,293500,500,1990,2016,1830,1863,1.619000,1.645000
589,294000,500,2037,2024,1877,1872,1.656000,1.650000
590,294500,500,2077,2032,1920,1878,1.687000,1.656000
591,295000,500,2110,2028,1950,1873,1.713000,1.652000
592,295500,500,2126,2020,1968,1870,1.727000,1.648000
593,296000,500,2144,2028,1994,1874,1.740000,1.652000
594,296500,500,2167,2032,2005,1879,1.757000,1.657000
595,297000,500,2183,2036,2022,1883,1.771000,1.661000
596,297500,500,2180,2040,2018,1888,1.768000,1.665000
597,298000,500,2159,2040,2000,1887,1.752000,1.664000
598,298500,500,2132,2032,1971,1877,1.730000,1.658000
599,299000,500,2105,2040,1949,1888,1.707000,1.663000
600,299500,500,2074,2036,1916,1885,1.685000,1.659000
601,300000,500,2039,2036,1875,1885,1.655000,1.659000
602,300500,500,1995,2040,1837,1886,1.624000,1.664000
603,301000,500,1954,2036,1794,1883,1.588000,1.659000
604,301500,500,1915,2028,1757,1876,1.557000,1.653000
605,302000,500,1878,2036,1724,1885,1.528000,1.661000
606,302500,500,1853,2032,1697,1879,1.509000,1.656000
607,303000,500,1836,2032,1680,1881,1.495000,1.657000
608,303500,500,1823,2028,1666,1875,1.484000,1.651000
609,304000,500,1811,2032,1653,1879,1.475000,1.657000
610,304500,500,1802,2020,1648,1869,1.470000,1.649000
611,305000,500,1807,2020,1649,1869,1.470000,1.646000
612,305500,500,1836,2024,1679,1872,1.495000,1.650000
613,306000,500,1880,2028,1723,1875,1.532000,1.655000
614,306500,500,1931,2016,1774,1866,1.572000,1.648000
615,307000,500,1974,2016,1817,1863,1.605000,1.646000
616,307500,500,2028,2016,1869,1866,1.649000,1.643000
617,308000,500,2093,2024,1936,1872,1.701000,1.650000
618,308500,500,2165,2020,2003,1867,1.756000,1.649000
619,309000,500,2230,2020,2071,1869,1.810000,1.648000
620,309500,500,2283,2020,2122,1869,1.851000,1.648000
621,310000,500,2330,2020,2169,1869,1.891000,1.650000
622,310500,500,2384,2024,2224,1872,1.934000,1.650000
623,311000,500,2429,2032,2266,1879,1.968000,1.656000
624,311500,500,2460,2040,2298,1889,1.997000,1.665000
625,312000,500,2468,2020,2306,1869,2.001000,1.649000
626,312500,500,2466,2028,2304,1875,1.998000,1.653000
627,313000,500,2459,2032,2296,1877,1.993000,1.657000
628,313500,500,2449,2040,2289,1889,1.985000,1.665000
629,314000,500,2415,2032,2256,1886,1.960000,1.657000
630,314500,500,2360,2036,2199,1886,1.914000,1.659000
631,315000,500,2284,2032,2125,1879,1.854000,1.655000
632,315500,500,2210,2036,2055,1887,1.791000,1.659000
633,316000,500,2130,2028,1971,1877,1.728000,1.654000
634,316500,500,2048,2040,1890,1889,1.665000,1.662000
635,317000,500,1955,2032,1795,1877,1.588000,1.655000
636,317500,500,1863,2040,1710,1889,1.517000,1.664000
637,318000,500,1778,2032,1622,1879,1.449000,1.656000
638,318500,500,1702,2040,1535,1889,1.379000,1.663000
639,319000,500,1639,2032,1481,1879,1.337000,1.656000
640,319500,500,1591,2036,1436,1886,1.296000,1.661000
641,320000,500,1550,2036,1392,1885,1.263000,1.661000
642,320500,500,1520,2028,1360,1877,1.238000,1.654000
643,321000,500,1499,2024,1341,1872,1.230000,1.650000
644,321500,500,1496,2024,1338,1872,1.220000,1.650000
645,322000,500,1517,2024,1358,1872,1.243000,1.650000
646,322500,500,1562,2032,1406,1879,1.274000,1.655000
647,323000,500,1623,2020,1465,1870,1.325000,1.649000
648,323500,500,1689,2012,1534,1859,1.375000,1.640000
649,324000,500,1764,2028,1609,1865,1.439000,1.652000
650,324500,500,1858,2024,1699,1872,1.510000,1.650000
651,325000,500,1965,2020,1806,1872,1.599000,1.649000
652,325500,500,2075,2032,1915,1882,1.686000,1.658000
653,326000,500,2173,2020,2011,1869,1.764000,1.649000
654,326500,500,2264,2016,2106,1866,1.839000,1.645000
655,327000,500,2360,2024,2202,1872,1.912000,1.651000
656,327500,500,2452,2028,2290,1875,1.988000,1.654000
657,328000,500,2529,2024,2372,1872,2.050000,1.650000
658,328500,500,2584,2020,2427,1869,2.096000,1.649000
659,329000,500,2617,2024,2453,1872,2.117000,1.650000
660,329500,500,2641,2032,2479,1878,2.139000,1.657000
661,330000,500,2659,2032,2495,1882,2.152000,1.657000
662,330500,500,2657,2036,2493,1883,2.152000,1.660000
663,331000,500,2629,2036,2467,1885,2.129000,1.660000
664,331500,500,2572,2036,2401,1886,2.086000,1.661000
665,332000,500,2507,2044,2349,1892,2.034000,1.667000
666,332500,500,2430,2036,2270,1884,1.972000,1.661000
667,333000,500,2347,2040,2189,1889,1.906000,1.664000
668,333500,500,2247,2036,2090,1886,1.825000,1.659000
669,334000,500,2134,2040,1972,1889,1.732000,1.665000
670,334500,500,2021,2036,1867,1885,1.641000,1.661000
671,335000,500,1917,2036,1759,1886,1.559000,1.661000
672,335500,500,1821,2036,1665,1883,1.483000,1.659000
673,336000,500,1736,2044,1582,1895,1.417000,1.666000
674,336500,500,1654,2036,1494,1886,1.347000,1.660000
675,337000,500,1582,2028,1425,1875,1.289000,1.652000
676,337500,500,1521,2032,1362,1878,1.238000,1.656000
677,338000,500,1481,2020,1321,1867,1.209000,1.648000
678,338500,500,1462,2024,1302,1872,1.191000,1.650000
679,339000,500,1470,2020,1313,1869,1.199000,1.648000
680,339500,500,1492,2020,1338,1868,1.216000,1.649000
681,340000,500,1530,2024,1372,1872,1.247000,1.650000
682,340500,500,1577,2016,1414,1867,1.287000,1.645000
683,341000,500,1646,2020,1486,1870,1.340000,1.648000
684,341500,500,1733,2016,1573,1862,1.415000,1.643000
685,342000,500,1831,2024,1675,1872,1.491000,1.650000
686,342500,500,1925,2024,1773,1872,1.568000,1.650000
687,343000,500,2018,2028,1857,1876,1.637000,1.652000
688,343500,500,2118,2024,1964,1872,1.723000,1.650000
689,344000,500,2224,2024,2070,1872,1.806000,1.650000
690,344500,500,2319,2032,2160,1882,1.882000,1.656000
691,345000,500,2402,2024,2242,1872,1.947000,1.650000
692,345500,500,2488,2024,2326,1873,2.016000,1.650000
693,346000,500,2569,2040,2407,1889,2.081000,1.664000
694,346500,500,2665,2028,2501,1878,2.158000,1.652000
695,347000,500,2770,2036,2609,1886,2.245000,1.661000
696,347500,500,2808,2028,2647,1876,2.278000,1.653000
697,348000,500,2782,2032,2623,1879,2.256000,1.655000
698,348500,500,2641,2028,2479,1876,2.139000,1.652000
699,349000,500,2474,2032,2316,1882,2.007000,1.657000
700,349500,500,2282,2032,2125,1881,1.852000,1.656000
701,350000,500,2123,2024,1965,1874,1.726000,1.650000
702,350500,500,2014,2036,1857,1884,1.638000,1.661000
703,351000,500,1905,2036,1745,1887,1.549000,1.661000
704,351500,500,1842,2036,1685,1886,1.499000,1.661000
705,352000,500,1799,2032,1647,1879,1.467000,1.653000
706,352500,500,1801,2032,1648,1881,1.469000,1.657000
707,353000,500,1800,2032,1648,1882,1.467000,1.656000
708,353500,500,1761,2028,1606,1875,1.436000,1.653000
709,354000,500,1700,2028,1535,1875,1.379000,1.653000
710,354500,500,1623,2028,1465,1874,1.317000,1.654000
711,355000,500,1560,2032,1403,1879,1.273000,1.659000
712,355500,500,1526,2028,1369,1877,1.243000,1.652000
713,356000,500,1510,2036,1353,1885,1.233000,1.660000
714,356500,500,1521,2032,1363,1881,1.238000,1.656000
715,357000,500,1575,2028,1418,1877,1.284000,1.654000
716,357500,500,1679,2036,1519,1886,1.367000,1.659000
717,358000,500,1824,2036,1667,1885,1.487000,1.661000
718,358500,500,1967,2028,1808,1876,1.599000,1.651000
719,359000,500,2091,2028,1932,1876,1.698000,1.652000
720,359500,500,2198,2032,2035,1879,1.781000,1.657000
721,360000,500,2283,2036,2123,1885,1.853000,1.661000
722,360500,500,2367,2036,2207,1887,1.921000,1.661000
723,361000,500,2425,2040,2263,1891,1.964000,1.663000
724,361500,500,2463,2032,2304,1880,1.997000,1.658000
725,362000,500,2488,2028,2327,1875,2.015000,1.656000
726,362500,500,2508,2024,2347,1873,2.033000,1.651000
727,363000,500,2539,2040,2378,1894,2.058000,1.663000
728,363500,500,2567,2028,2405,1874,2.080000,1.653000
729,364000,500,2575,2036,2415,1882,2.088000,1.661000
730,364500,500,2563,2032,2415,1882,2.078000,1.658000
731,365000,500,2515,2028,2354,1876,2.037000,1.653000
732,365500,500,2454,2032,2291,1883,1.989000,1.659000
733,366000,500,2367,2032,2208,1881,1.921000,1.656000
734,366500,500,2264,2024,2107,1872,1.839000,1.651000
735,367000,500,2150,2024,1994,1872,1.745000,1.650000
736,367500,500,2025,2028,1863,1876,1.646000,1.653000
737,368000,500,1910,2032,1749,1879,1.552000,1.656000
738,368500,500,1804,2028,1650,1875,1.470000,1.654000
739,369000,500,1708,2036,1552,1885,1.395000,1.660000
740,369500,500,1633,2028,1473,1874,1.327000,1.654000
741,370000,500,1567,2028,1413,1877,1.277000,1.653000
742,370500,500,1526,2032,1365,1879,1.243000,1.657000
743,371000,500,1498,2028,1342,1877,1.223000,1.653000
744,371500,500,1487,2028,1326,1875,1.212000,1.651000
745,372000,500,1488,2024,1329,1872,1.213000,1.650000
746,372500,500,1496,2032,1338,1882,1.220000,1.657000
747,373000,500,1523,2028,1365,1874,1.240000,1.652000
748,373500,500,1573,2036,1423,1885,1.284000,1.661000
749,373999,499,1648,2036,1488,1882,1.341000,1.661000
750,374499,500,1745,2032,1591,1879,1.424000,1.656000
751,374999,500,1844,2036,1685,1883,1.500000,1.661000
752,375499,500,1948,2036,1790,1883,1.585000,1.661000
753,375999,500,2055,2036,1899,1885,1.672000,1.661000
754,376499,500,2176,2036,2015,1885,1.765000,1.659000
755,376999,500,2306,2032,2146,1879,1.870000,1.659000
756,377499,500,2416,2028,2256,1873,1.960000,1.654000
757,377999,500,2502,2036,2340,1882,2.026000,1.662000
758,378499,500,2564,2028,2403,1876,2.078000,1.653000
759,378999,500,2615,2028,2450,1875,2.114000,1.651000
760,379499,500,2661,2036,2496,1884,2.153000,1.659000
761,379999,500,2685,2024,2517,1872,2.171000,1.650000
762,380499,500,2681,2032,2515,1881,2.170000,1.656000
763,380999,500,2656,2032,2493,1877,2.151000,1.656000
764,381499,500,2619,2032,2455,1879,2.125000,1.658000
765,381999,500,2582,2028,2422,1875,2.090000,1.653000
766,382499,500,2518,2032,2359,1879,2.043000,1.658000
767,382999,500,2429,2032,2265,1879,1.968000,1.655000
768,383499,500,2319,2032,2160,1877,1.882000,1.657000
769,383999,500,2214,2028,2057,1875,1.799000,1.653000
770,384499,500,2117,2032,1962,1881,1.719000,1.656000
771,384999,500,2008,2036,1849,1885,1.630000,1.662000
772,385499,500,1878,2032,1718,1879,1.527000,1.655000
773,385999,500,1750,2024,1596,1872,1.429000,1.650000
774,386499,500,1648,2036,1490,1885,1.341000,1.661000
775,386999,500,1587,2032,1429,1880,1.293000,1.654000
776,387499,500,1535,2036,1378,1886,1.251000,1.661000
777,387999,500,1485,2032,1328,1882,1.220000,1.656000
778,388499,500,1441,2032,1281,1879,1.173000,1.656000
779,388999,500,1431,2036,1275,1884,1.165000,1.663000
780,389499,500,1452,2044,1294,1894,1.184000,1.667000
781,389999,500,1490,2032,1330,1882,1.214000,1.656000
782,390499,500,1537,2032,1381,1879,1.253000,1.659000
783,390999,500,1583,2032,1425,1879,1.289000,1.659000
784,391499,500,1655,2032,1495,1879,1.346000,1.656000
785,391999,500,1748,2032,1593,1881,1.427000,1.659000
786,392499,500,1843,2036,1685,1887,1.500000,1.661000
787,392999,500,1946,2028,1787,1876,1.584000,1.653000
788,393499,500,2041,2032,1883,1882,1.661000,1.658000
789,393999,500,2155,2024,1995,1872,1.749000,1.650000
790,394499,500,2265,2028,2106,1874,1.839000,1.649000
791,394999,500,2361,2032,2206,1879,1.913000,1.655000
792,395499,500,2425,2028,2263,1877,1.967000,1.655000
793,395999,500,2477,2032,2319,1879,2.007000,1.656000
794,396499,500,2525,2028,2362,1875,2.047000,1.652000
795,396999,500,2565,2028,2402,1874,2.080000,1.653000
796,397499,500,2582,2032,2419,1882,2.091000,1.658000
797,397999,500,2568,2036,2406,1883,2.080000,1.661000
798,398499,500,2539,2036,2382,1887,2.058000,1.658000
799,398999,500,2507,2040,2346,1890,2.033000,1.665000
800,399499,500,2465,2024,2304,1872,1.998000,1.650000
801,399999,500,2407,2032,2247,1882,1.951000,1.658000
802,400499,500,2329,2036,2169,1885,1.887000,1.657000
803,400999,500,2248,2040,2090,1888,1.819000,1.664000
804,401499,500,2167,2032,2005,1878,1.756000,1.656000
805,401999,500,2086,2028,1927,1875,1.694000,1.652000
806,402499,500,1995,2024,1837,1872,1.632000,1.650000
807,402999,500,1903,2036,1744,1882,1.547000,1.658000
808,403499,500,1829,2032,1673,1877,1.491000,1.656000
809,403999,500,1777,2032,1619,1879,1.446000,1.657000
810,404499,500,1738,2036,1584,1887,1.418000,1.661000
811,404999,500,1700,2028,1535,1873,1.398000,1.653000
812,405499,500,1670,2032,1514,1881,1.360000,1.656000
813,405999,500,1658,2032,1499,1879,1.346000,1.654000
814,406499,500,1674,2036,1517,1883,1.366000,1.661000
815,406999,500,1702,2036,1535,1883,1.379000,1.660000
816,407499,500,1737,2032,1584,1878,1.417000,1.650000
817,407999,500,1777,2028,1622,1874,1.448000,1.654000
818,408499,500,1830,2028,1674,1875,1.491000,1.653000
819,408999,500,1889,2036,1730,1883,1.536000,1.661000
820,409499,500,1957,2036,1797,1884,1.594000,1.659000
821,409999,500,2022,2032,1861,1879,1.642000,1.658000
822,410499,500,2090,2028,1931,1872,1.701000,1.652000
823,410999,500,2157,2036,1995,1884,1.751000,1.661000
824,411499,500,2219,2028,2064,1874,1.803000,1.655000
825,411999,500,2260,2040,2101,1888,1.835000,1.664000
826,412499,500,2291,2040,2129,1888,1.856000,1.665000
827,412999,500,2312,2032,2150,1881,1.877000,1.656000
828,413499,500,2332,2032,2171,1879,1.891000,1.656000
829,413999,500,2335,2032,2176,1883,1.895000,1.656000
830,414499,500,2323,2032,2163,1881,1.884000,1.656000
831,414999,500,2288,2032,2128,1881,1.856000,1.656000
832,415499,500,2252,2032,2095,1883,1.831000,1.656000
833,415999,500,2208,2024,2054,1872,1.791000,1.650000
834,416499,500,2157,2032,1998,1879,1.752000,1.656000
835,416999,500,2098,2028,1937,1875,1.702000,1.653000
836,417499,500,2037,2032,1877,1879,1.655000,1.655000
837,417999,500,1978,2032,1820,1878,1.607000,1.656000
838,418499,500,1926,2032,1766,1879,1.566000,1.657000
839,418999,500,1867,2028,1712,1874,1.520000,1.653000
840,419499,500,1815,2036,1661,1886,1.480000,1.661000
841,419999,500,1773,2028,1617,1877,1.444000,1.653000
842,420499,500,1758,2036,1602,1883,1.433000,1.662000
843,420999,500,1753,2032,1600,1881,1.432000,1.656000
844,421499,500,1755,2036,1601,1885,1.431000,1.661000
845,421999,500,1760,2036,1606,1885,1.435000,1.661000
846,422499,500,1780,2032,1623,1879,1.452000,1.659000
847,422999,500,1823,2040,1667,1889,1.485000,1.666000
848,423499,500,1883,2036,1725,1885,1.532000,1.661000
849,423999,500,1942,2036,1785,1885,1.580000,1.662000
850,424499,500,2009,2028,1850,1875,1.633000,1.654000
851,424999,500,2076,2032,1917,1874,1.688000,1.656000
852,425499,500,2150,2040,1993,1888,1.745000,1.664000
853,425999,500,2223,2036,2064,1884,1.806000,1.661000
854,426499,500,2288,2028,2129,1874,1.856000,1.653000
855,426999,500,2350,2036,2190,1887,1.908000,1.661000
856,427499,500,2405,2032,2245,1882,1.949000,1.656000
857,427999,500,2452,2036,2290,1885,1.987000,1.660000
858,428499,500,2480,2032,2318,1881,2.011000,1.656000
859,428999,500,2483,2028,2320,1875,2.012000,1.653000
860,429499,500,2476,2020,2315,1870,2.007000,1.648000
861,429999,500,2462,2028,2302,1877,1.996000,1.652000
862,430499,500,2433,2028,2272,1877,1.971000,1.654000
863,430999,500,2391,2024,2227,1872,1.939000,1.650000
864,431499,500,2321,2028,2161,1879,1.882000,1.652000
865,431999,500,2242,2036,2083,1886,1.819000,1.660000
866,432499,500,2156,2040,1995,1888,1.750000,1.663000
867,432999,500,2066,2036,1905,1885,1.678000,1.661000
868,433499,500,1974,2024,1819,1872,1.604000,1.650000
869,433999,500,1879,2036,1721,1886,1.529000,1.661000
870,434499,500,1789,2028,1632,1875,1.458000,1.652000
871,434999,500,1706,2036,1553,1885,1.379000,1.659000
872,435499,500,1626,2044,1467,1893,1.325000,1.667000
873,435999,500,1561,2036,1405,1885,1.274000,1.661000
874,436499,500,1508,2024,1351,1872,1.230000,1.649000
875,436999,500,1484,2036,1328,1886,1.210000,1.661000
876,437499,500,1474,2036,1314,1883,1.201000,1.659000
877,437999,500,1480,2032,1322,1879,1.207000,1.656000
878,438499,500,1494,2036,1334,1883,1.217000,1.659000
879,438999,500,1529,2028,1372,1874,1.246000,1.653000
880,439499,500,1586,2032,1428,1882,1.292000,1.657000
881,439999,500,1666,2032,1506,1878,1.358000,1.657000
882,440499,500,1754,2032,1598,1879,1.431000,1.657000
883,440999,500,1855,2032,1699,1879,1.511000,1.658000
884,441499,500,1964,2032,1808,1879,1.598000,1.658000
885,441999,500,2078,2036,1920,1886,1.688000,1.659000
886,442499,500,2190,2036,2029,1884,1.777000,1.661000
887,442999,500,2298,2032,2139,1881,1.864000,1.657000
888,443499,500,2400,2032,2238,1882,1.946000,1.656000
889,443999,500,2497,2032,2336,1879,2.023000,1.656000
890,444499,500,2581,2032,2416,1881,2.092000,1.656000
891,444999,500,2643,2032,2480,1879,2.140000,1.655000
892,445499,500,2676,2040,2512,1887,2.166000,1.665000
893,445999,500,2697,2028,2531,1876,2.182000,1.652000
894,446499,500,2704,2032,2539,1881,2.187000,1.656000
895,446999,500,2696,2028,2530,1876,2.180000,1.652000
896,447499,500,2665,2024,2500,1872,2.155000,1.650000
897,447999,500,2609,2028,2447,1873,2.107000,1.651000
898,448499,500,2531,2028,2369,1876,2.051000,1.653000
899,448999,500,2446,2036,2287,1888,1.985000,1.660000
900,449499,500,2344,2036,2184,1885,1.901000,1.652000
901,449999,500,2230,2024,2070,1872,1.810000,1.650000
902,450499,500,2106,2028,1947,1875,1.707000,1.653000
903,450999,500,1986,2036,1828,1886,1.616000,1.661000
904,451499,500,1869,2032,1713,1879,1.521000,1.655000
905,451999,500,1754,2032,1600,1879,1.431000,1.658000
906,452499,500,1643,2036,1483,1886,1.338000,1.662000
907,452999,500,1545,2024,1389,1872,1.260000,1.650000
908,453499,500,1472,2024,1312,1872,1.198000,1.646000
909,453999,500,1428,2040,1269,1888,1.164000,1.663000
910,454499,500,1397,2036,1246,1883,1.140000,1.661000
911,454999,500,1376,2032,1221,1879,1.122000,1.659000
912,455499,500,1372,2032,1213,1882,1.120000,1.655000
913,455999,500,1393,2036,1233,1886,1.135000,1.659000
914,456499,500,1442,2032,1281,1879,1.176000,1.656000
915,456999,500,1507,2028,1353,1875,1.229000,1.653000
916,457499,500,1587,2040,1433,1889,1.293000,1.663000
917,457999,500,1677,2028,1519,1875,1.366000,1.652000
918,458499,500,1784,2032,1628,1879,1.454000,1.656000
919,458999,500,1901,2032,1742,1878,1.546000,1.656000
920,459499,500,2018,2032,1864,1883,1.638000,1.657000
921,459999,500,2133,2040,1974,1888,1.730000,1.664000
922,460499,500,2252,2032,2095,1879,1.830000,1.656000
923,460999,500,2364,2032,2204,1879,1.917000,1.656000
924,461499,500,2464,2036,2303,1883,1.996000,1.661000
925,461999,500,2537,2032,2377,1879,2.056000,1.656000
926,462499,500,2591,2036,2425,1885,2.100000,1.659000
927,462999,500,2630,2028,2466,1874,2.129000,1.652000
928,463499,500,2659,2028,2495,1874,2.152000,1.655000
929,463999,500,2668,2032,2506,1882,2.161000,1.658000
930,464499,500,2652,2028,2487,1876,2.145000,1.651000
931,464999,500,2611,2036,2447,1884,2.114000,1.662000
932,465499,500,2559,2032,2398,1881,2.071000,1.656000
933,465999,500,2490,2032,2329,1881,2.016000,1.656000
934,466499,500,2410,2032,2249,1878,1.955000,1.658000
935,466999,500,2314,2032,2160,1887,1.877000,1.658000
936,467499,500,2210,2036,2047,1885,1.797000,1.661000
937,467999,500,2105,2032,1945,1879,1.707000,1.659000
938,468499,500,1998,2024,1840,1872,1.624000,1.650000
939,468999,500,1889,2036,1731,1882,1.537000,1.661000
940,469499,500,1786,2040,1630,1890,1.455000,1.665000
941,469999,500,1695,2036,1535,1885,1.379000,1.661000
942,470499,500,1631,2028,1473,1874,1.328000,1.653000
943,470999,500,1580,2040,1423,1889,1.289000,1.664000
944,471499,500,1541,2036,1386,1887,1.259000,1.661000
945,471999,500,1512,2028,1355,1875,1.234000,1.650000
946,472499,500,1505,2044,1344,1893,1.226000,1.669000
947,472999,500,1524,2032,1363,1884,1.242000,1.655000
948,473499,500,1560,2036,1403,1885,1.271000,1.662000
949,473999,500,1608,2024,1451,1872,1.312000,1.650000
950,474499,500,1670,2036,1511,1887,1.359000,1.661000
951,474999,500,1743,2040,1586,1889,1.420000,1.662000
952,475499,500,1830,2032,1675,1879,1.491000,1.656000
953,475999,500,1920,2032,1761,1879,1.562000,1.656000
954,476499,500,2011,2032,1849,1879,1.635000,1.656000
955,476999,500,2107,2028,1950,1877,1.711000,1.654000
956,477499,500,2204,2036,2042,1883,1.788000,1.659000
957,477999,500,2294,2024,2135,1872,1.860000,1.651000
958,478499,500,2366,2028,2205,1877,1.919000,1.653000
959,478999,500,2416,2032,2256,1878,1.960000,1.657000
960,479499,500,2458,2040,2297,1889,1.993000,1.664000
961,479999,500,2490,2032,2327,1881,2.019000,1.656000
962,480499,500,2508,2036,2350,1886,2.031000,1.661000
963,480999,500,2506,2036,2346,1886,2.032000,1.662000
