1,0,273118.117297,-432445.952227,159327.834933,-65.321387,374.149290,-308.827903
2,1000,379701.112030,-377880.859333,-1820.252738,-205.823653,399.539214,-193.715561
3,2000,432975.918372,-270271.755609,-162704.162794,-317.403551,368.850320,-51.446769
4,3000,425474.077194,-124736.475673,-300737.601507,-384.477798,286.484540,97.993258
5,4000,358169.398288,38397.927060,-396567.325342,-397.587407,163.889608,233.697799
6,5000,240549.619380,196135.787583,-436685.406947,-354.793590,18.159751,336.633839
7,6000,89162.931497,326288.604615,-415451.536077,-262.113405,-130.162967,392.276373
8,7000,-74724.371704,410597.706298,-335873.334539,-132.675203,-260.082692,392.757895
9,8000,-228126.009554,437269.015655,-209143.006056,15.335843,-353.410576,338.074732
10,9000,-349522.423915,402569.703900,-53047.279960,161.224965,-397.189069,235.964104
11,10000,-421809.736591,311280.109678,110529.626953,284.542870,-385.269498,100.726628
12,11000,-434834.011708,176247.558953,258586.452783,367.886480,-319.175055,-48.711426
13,12000,-386787.085563,16480.414215,370306.671338,399.487646,-208.146869,-191.340777
14,13000,-284449.175041,-145553.534582,430002.709614,374.979652,-67.925404,-307.054248
15,14000,-142167.609661,-287153.843683,429321.453331,297.873285,81.735706,-379.608991
16,15000,20116.157404,-388482.123345,368365.965902,178.954321,219.929919,-398.884240
17,16000,179582.088118,-435241.819679,255659.731520,34.840923,327.344777,-362.185700
18,17000,313805.865669,-420835.222226,107029.356525,-114.200282,388.800267,-274.599985
19,18000,403933.319601,-347303.326589,-56629.993035,-247.149067,395.547890,-148.398823
20,19000,437349.024065,-225034.911224,-212314.112862,-345.340831,346.708527,-1.367696
21,20000,409364.041114,-71184.531860,-338179.509262,-395.068368,249.265868,145.802500
22,21000,323871.392038,92699.107184,-416570.499201,-389.366393,116.878878,272.487514
23,22000,192871.231735,243585.740004,-436456.971717,-328.953521,-31.995962,360.949483
24,23000,34786.015907,360240.959089,-395026.974969,-222.278107,-176.453913,398.732020
25,24000,-128158.010154,426264.528982,-298106.518779,-84.392368,-296.075983,380.468351
26,25000,-273105.298582,432441.689077,-159336.390452,65.285566,-374.026056,308.740490
27,26000,-379720.612377,377921.671840,1798.940567,205.785803,-399.469131,193.683328
28,27000,-433008.982453,270312.856661,162696.125817,317.442391,-368.899301,51.456910
29,28000,-425459.905521,124701.148532,300758.757003,384.536990,-286.512500,-98.024490
30,29000,-358142.907529,-38430.339524,396573.247050,397.575067,-163.794699,-233.780368
31,30000,-240548.337376,-196122.320817,436670.658169,354.742509,-18.053892,-336.688618
32,31000,-89185.750679,-326257.447242,415443.197895,262.128195,130.140895,-392.269091
33,32000,74717.557083,-410603.571311,335886.014196,132.741475,260.021200,-392.762675
34,33000,228147.360159,-437302.753924,209155.393720,-15.318482,353.457818,-338.139336
35,34000,349526.485770,-402559.352562,53032.866756,-161.274919,397.308199,-236.033280
36,35000,421793.117972,-311249.692720,-110543.425274,-284.563092,385.301188,-100.738096
37,36000,434824.590126,-176246.840105,-258577.750036,-367.832685,319.112236,48.720449
38,37000,386806.549634,-16518.630729,-370287.918907,-399.444490,208.144936,191.299554
39,38000,284464.185827,145541.591873,-430005.777683,-375.007472,68.023055,306.984417
40,39000,142149.265840,287192.939253,-429342.205063,-297.910963,-81.669857,379.580820
41,40000,-20136.028883,388504.295900,-368368.266983,-178.925728,-219.969925,398.895652
42,41000,-179573.441660,435216.743048,-255643.301351,-34.788943,-327.376920,362.165862
43,42000,-313780.495982,420801.650463,-107021.154439,114.193219,-388.727809,274.534590
44,43000,-403934.151603,347317.885343,56616.266290,247.106716,-395.461591,148.354875
45,44000,-437371.748273,225067.629974,212304.118315,345.347381,-346.721910,1.374529
46,45000,-409369.422142,71179.062795,338190.359355,395.122713,-249.320964,-145.801750
47,46000,-323854.243678,-92726.474034,416580.717704,389.382292,-116.844176,-272.538116
48,47000,-192861.855375,-243586.876092,436448.731441,328.912338,32.093987,-361.006325
49,48000,-34801.194543,-360212.652551,395013.847060,222.259606,176.480290,-398.739896
50,49000,128148.556741,-426261.627822,298113.071045,84.435708,296.021171,-380.456879
51,50000,273118.799890,-432470.138073,159351.338144,-65.247161,374.016984,-308.769823
52,51000,379732.791090,-377931.115821,-1801.675306,-205.809449,399.550362,-193.740914
53,52000,432997.413820,-270285.351184,-162712.062659,-317.476961,368.957689,-51.480728
54,53000,425442.744523,-124680.993854,-300761.750677,-384.515763,286.479412,98.036351
55,54000,358151.048196,38407.064602,-396558.112796,-397.529764,163.761023,233.768741
56,55000,240568.021962,196095.834499,-436663.856443,-354.744988,18.107493,336.637495
57,56000,89184.778994,326270.296885,-415455.075847,-262.165271,-130.066990,392.232261
58,57000,-74737.100067,410632.651369,-335895.551266,-132.739777,-260.029567,392.769344
59,58000,-228152.864814,437299.918123,-209147.053272,15.362346,-353.505477,338.143131
60,59000,-349509.866657,402532.071278,-53022.204585,161.290609,-397.285013,235.994405
61,60000,-421784.296836,311247.117177,110537.179687,284.529805,-385.221416,100.691612
62,61000,-434836.852318,176270.276879,258566.575452,367.815020,-319.088602,-48.726418
63,62000,-386817.130572,16525.436095,370291.694475,399.479349,-208.192535,-191.286814
64,63000,-284454.376964,-145563.593450,430017.970401,375.040339,-68.034736,-307.005603
65,64000,-142137.500320,-287203.568925,429341.069218,297.891986,81.735869,-379.627854
66,65000,20127.909957,-388483.059288,368355.149294,178.894634,220.021340,-398.915973
67,66000,179559.884652,-435200.780434,255640.895743,34.804817,327.349204,-362.154021
68,67000,313785.592312,-420818.945918,107033.353570,-114.153889,388.694125,-274.540236
69,68000,403950.098975,-347339.949657,-56610.149350,-247.106756,395.502017,-148.395261
70,69000,437371.054090,-225056.764426,-212314.289684,-345.379474,346.784930,-1.405456
71,70000,409353.099946,-71153.978486,-338199.121464,-395.124761,249.317228,145.807534
72,71000,323849.860551,92723.734977,-416573.595518,-389.346271,116.802124,272.544147
73,72000,192876.039220,243562.959265,-436438.998464,-328.896940,-32.079833,360.976773
74,73000,34809.686619,360208.491909,-395018.178496,-222.286432,-176.415363,398.701795
75,74000,-128159.424853,426282.720746,-298123.295854,-84.452461,-295.999644,380.452106
76,75000,-273129.102054,432478.357480,-159349.255389,65.274430,-374.056878,308.782448
77,76000,-379725.173404,377913.210252,1811.963184,205.837819,-399.563849,193.726031
78,77000,-432986.380899,270274.331542,162712.049381,317.462049,-368.904353,51.442304
79,78000,-425447.902352,124696.580482,300751.321880,384.488520,-286.434954,-98.053566
80,79000,-358162.891933,-38392.549095,396555.441023,397.541414,-163.783981,-233.757433
81,80000,-240565.027397,-196108.723940,436673.751318,354.778611,-18.139464,-336.639146
82,81000,-89172.008105,-326288.372014,415460.380089,262.166840,130.097342,-392.264183
83,82000,74737.234677,-410624.437858,335887.203143,132.711978,260.083622,-392.795600
84,83000,228139.765309,-437279.182507,209139.417158,-15.366555,353.504700,-338.138144
85,84000,349505.924342,-402533.942572,53028.018194,-161.260929,397.247976,-235.987047
86,85000,421796.235999,-311267.870572,-110528.365454,-284.514906,385.228707,-100.713801
87,86000,434844.208930,-176274.336003,-258569.872942,-367.836645,319.141562,48.695083
88,87000,386807.917298,-16507.125490,-370300.791809,-399.495303,208.212685,191.282618
89,88000,284444.879677,145572.139079,-430017.018741,-375.019194,68.001609,307.017585
90,89000,142143.630142,287188.614882,-429332.244997,-297.867482,-81.750216,379.617698
91,90000,-20117.627378,388471.867919,-368354.240506,-178.905861,-219.978903,398.884764
92,91000,-179563.359385,435212.790908,-255649.431483,-34.828455,-327.310921,362.139377
93,92000,-313795.990275,420832.183627,-107036.193315,114.162091,-388.712711,274.550620
94,93000,-403948.831518,347330.860039,56617.971509,247.135200,-395.531426,148.396226
95,94000,-437360.490804,225041.415137,212319.075686,345.382024,-346.762195,1.380171
96,95000,-409352.087751,71159.607695,338192.480062,395.100999,-249.271174,-145.829825
97,96000,-323860.343709,-92706.640807,416566.984507,389.340840,-116.800889,-272.539950
98,97000,-192879.721714,-243563.950930,436443.672621,328.921448,32.047280,-360.968728
99,98000,-34800.091844,-360225.746147,395025.837958,222.300502,176.417794,-398.718295
100,99000,128165.837491,-426286.679023,298120.841494,84.434974,296.043029,-380.478004
101,100000,273121.478193,-432462.735908,159341.257675,-65.289435,374.075767,-308.786331
102,101000,379716.811963,-377905.139350,-1811.672647,-205.821572,399.536574,-193.715001
103,102000,432991.359058,-270286.925796,-162704.433285,-317.440752,368.889595,-51.448843
104,103000,425457.124467,-124707.234361,-300749.890116,-384.496679,286.468382,98.028297
105,104000,358160.534136,38401.946566,-396562.480698,-397.561824,163.816924,233.744900
106,105000,240555.800459,196120.953826,-436676.754267,-354.773219,18.124842,336.648377
107,106000,89172.213409,326281.949584,-415454.162962,-262.142985,-130.123788,392.266773
108,107000,-74728.337935,410611.152182,-335882.814210,-132.708735,-260.066891,392.775626
109,108000,-228138.060943,437282.640858,-209144.579877,15.346473,-353.465696,338.119223
110,109000,-349514.347360,402548.085341,-53033.737944,161.254932,-397.245453,235.990521
111,110000,-421799.877771,311267.918445,110531.959353,284.535053,-385.257056,100.722003
112,111000,-434836.613470,176260.166409,258576.447075,367.849646,-319.142413,-48.707233
113,112000,-386802.299491,16503.291857,370299.007634,399.481171,-208.177076,-191.304096
114,113000,-284450.945451,-145559.195351,430010.140788,375.005288,-67.984011,-307.021277
115,114000,-142150.849738,-287181.276724,429332.126435,297.879910,81.727807,-379.607716
116,115000,20121.570106,-388482.333949,368360.763807,178.924397,219.964198,-398.888595
117,116000,179571.418768,-435222.543283,255651.124476,34.822760,327.337024,-362.159783
118,117000,313794.362631,-420824.688600,107030.325931,-114.179694,388.741131,-274.561437
119,118000,403940.765502,-347319.776961,-56620.988572,-247.132043,395.520275,-148.388232
120,119000,437360.064581,-225045.949197,-212314.115404,-345.362106,346.738721,-1.376615
121,120000,409359.665518,-71171.245690,-338188.419834,-395.097271,249.283151,145.814120
122,121000,323862.467547,92708.476484,-416570.944021,-389.357622,116.833704,272.523918
123,122000,192872.863794,243575.802096,-436448.665867,-328.927638,-32.043884,360.971522
124,123000,34796.486092,360226.687383,-395023.173441,-222.284057,-176.442217,398.726274
125,124000,-128159.880465,426275.125251,-298115.244748,-84.423162,-296.045999,380.469161
126,125000,-273116.458765,432458.913170,-159342.454367,65.278072,-374.046559,308.768487
127,126000,-379721.501152,377915.658664,1805.842521,205.808900,-399.520377,193.711478
128,127000,-432997.561934,270293.519341,162704.042616,317.450199,-368.907953,51.457754
129,128000,-425454.123683,124698.711943,300755.411750,384.512787,-286.482649,-98.030138
130,129000,-358153.633098,-38410.616986,396564.250079,397.558027,-163.796667,-233.761361
131,130000,-240556.863902,-196115.008087,436671.871970,354.758057,-18.100276,-336.657782
132,131000,-89179.152941,-326272.095665,415451.248576,262.144436,130.115552,-392.259988
133,132000,74727.570908,-410614.367774,335886.796828,132.725328,260.046225,-392.771552
134,133000,228144.503344,-437292.816939,209148.313556,-15.342425,353.473912,-338.131488
135,134000,349516.643300,-402547.362523,53030.719187,-161.268841,397.272933,-236.004092
136,135000,421794.243694,-311257.901344,-110536.342378,-284.541209,385.261051,-100.719842
137,136000,434833.104054,-176258.556669,-258574.547400,-367.836340,319.121605,48.714736
138,137000,386806.981902,-16512.741851,-370294.240051,-399.470562,208.172796,191.297766
139,138000,284455.474839,145555.369061,-430010.843886,-375.014339,68.007885,307.006453
140,139000,142147.305051,287189.715348,-429337.020372,-297.891292,-81.713075,379.604367
141,140000,-20126.919920,388488.273283,-368361.353328,-178.917286,-219.979171,398.896457
142,141000,-179569.247689,435215.758702,-255646.510974,-34.808822,-327.350533,362.159355
143,142000,-313788.510439,420817.085925,-107028.575448,114.177330,-388.725502,274.548172
144,143000,-403941.364982,347324.412172,56616.952841,247.119017,-395.499032,148.380014
145,144000,-437365.939226,225054.548246,212311.390999,345.362309,-346.744593,1.382285
146,145000,-409360.620973,71169.002395,338191.618583,395.111077,-249.301247,-145.809830
147,146000,-323857.039149,-92717.296328,416574.335467,389.361834,-116.828412,-272.533422
148,147000,-192870.567382,-243575.804959,436446.372318,328.916182,32.066824,-360.983006
149,148000,-34801.127850,-360218.193566,395019.321383,222.278078,176.446612,-398.724690
150,149000,128156.556743,-426273.105899,298116.549117,84.433835,296.028442,-380.462277
151,150000,273120.152557,-432466.675331,159346.522736,-65.268611,374.041518,-308.772907
152,151000,379725.593060,-377919.444217,-1806.148877,-205.816014,399.539789,-193.723775
153,152000,432994.920202,-270286.787459,-162708.132766,-317.460304,368.921220,-51.460917
154,153000,425449.485012,-124693.335833,-300756.149188,-384.507522,286.470527,98.036995
155,154000,358155.116053,38405.319514,-396560.435563,-397.546035,163.784135,233.761900
156,155000,240561.810615,196108.376405,-436670.187001,-354.759353,18.112249,336.647104
157,156000,89178.942302,326275.606736,-415454.549008,-262.155577,-130.097213,392.252790
