1,1531,882235191,-1728368974,115272032,-706686186,1230533921,1257829314,-2120769138,-1734026993,
2,2531,1324542410,-1575282321,335121690,-582696273,1231017656,1268296330,-2120299758,-1727722603,
3,3531,1579274488,-1204681150,457721268,-300677713,1238876919,1271354261,-2116564515,-1726195931,
4,4531,1610655265,-668615359,465852092,99760836,1249835598,1265354430,-2111595761,-1730270719,
5,5531,1414277146,-42373815,358372149,562378988,1257952573,1253534011,-2108086396,-1737747782,
6,6531,1017721074,586089736,150376717,1022203390,1258843684,1242289416,-2107931292,-1744579790,
7,7531,476682092,1128509406,-128921905,1414653065,1252029014,1237730012,-2111213967,-1747054402,
8,8531,-132852513,1508704083,-440297015,1684609633,1241186400,1242339638,-2116162655,-1743822790,
9,9531,-725275372,1673276348,-740016928,1794158512,1232189005,1253607612,-2120095845,-1736645654,
10,10531,-1217382501,1599112731,-985986832,1727913812,1229928775,1265411147,-2120874619,-1729421206,
11,11531,-1540058939,1296629245,-1143661084,1495179501,1235637765,1271363353,-2118074340,-1726057795,
12,12531,-1647985635,808308658,-1190894677,1128642381,1246206631,1268253035,-2113220016,-1728370193,
13,13531,-1526004660,202734321,-1121053886,679781476,1255898512,1257757012,-2108945976,-1735110955,
14,14531,-1191247832,-435042771,-943947591,211637999,1259472883,1245548668,-2107562513,-1742636176,
15,15531,-690730873,-1015448659,-684449885,-210038710,1255002056,1238252150,-2109815860,-1746861350,
16,16531,-94749793,-1456967101,-379006419,-526025354,1244897835,1239840214,-2114490134,-1745485908,
17,17531,512991587,-1697588077,-70515826,-691942620,1234625625,1249447389,-2119056485,-1739259247,
18,18531,1047137789,-1703517186,197695302,-684487908,1229764221,1261847963,-2121034333,-1731567588,
19,19531,1432669681,-1473921544,387957518,-504708262,1232961378,1270322539,-2119346085,-1726577810,
20,20531,1615440289,-1041047413,473549055,-177853014,1242475342,1270295263,-2114911789,-1726983346,
21,21531,1569780095,-465690480,442448782,250171815,1253135076,1261781288,-2110140711,-1732565375,
22,22531,1302101883,171342021,299024763,719251473,1259169355,1249377251,-2107615389,-1740309838,
23,23531,850000461,780580791,63420356,1163505109,1257321846,1239804712,-2108698406,-1746018596,
24,24531,276971890,1276460017,-231274445,1520538593,1248589035,1238270767,-2112805410,-1746585924,
25,25531,-336503542,1589334969,-543670632,1740207603,1237689153,1245611013,-2117717492,-1741702599,
26,26531,-904265023,1675263141,-829893103,1791660459,1230533921,1257829314,-2120769138,-1734026993,
27,27531,-1346572242,1522176488,-1049742760,1667670546,1231017656,1268296330,-2120299758,-1727722603,
28,28531,-1601304321,1151575317,-1172342338,1385651986,1238876919,1271354261,-2116564515,-1726195931,
29,29531,-1632685098,615509526,-1180473162,985213436,1249835598,1265354430,-2111595761,-1730270719,
30,30531,-1436306979,-10732018,-1072993219,522595284,1257952573,1253534011,-2108086396,-1737747782,
31,31531,-1039750907,-639195569,-864997787,62770883,1258843684,1242289416,-2107931292,-1744579790,
32,32531,-498711925,-1181615240,-585699165,-329678793,1252029014,1237730012,-2111213967,-1747054402,
33,33531,110822681,-1561809916,-274324055,-599635361,1241186400,1242339638,-2116162655,-1743822790,
34,34531,703245539,-1726382181,25395857,-709184239,1232189005,1253607612,-2120095845,-1736645654,
35,35531,1195352669,-1652218564,271365762,-642939540,1229928775,1265411147,-2120874619,-1729421206,
36,36531,1518029106,-1349735079,429040014,-410205229,1235637765,1271363353,-2118074340,-1726057795,
37,37531,1625955803,-861414491,476273607,-43668109,1246206631,1268253035,-2113220016,-1728370193,
38,38531,1503974828,-255840154,406432816,405192796,1255898512,1257757012,-2108945976,-1735110955,
39,39531,1169217999,381936937,229326521,873336274,1259472883,1245548668,-2107562513,-1742636176,
40,40531,668701041,962342826,-30171186,1295012982,1255002056,1238252150,-2109815860,-1746861350,
41,41531,72719961,1403861267,-335614651,1610999627,1244897835,1239840214,-2114490134,-1745485908,
42,42531,-535021419,1644482244,-644105244,1776916893,1234625625,1249447389,-2119056485,-1739259247,
43,43531,-1069167622,1650411353,-912316372,1769462180,1229764221,1261847963,-2121034333,-1731567588,
44,44531,-1454699514,1420815711,-1102578588,1589682534,1232961378,1270322539,-2119346085,-1726577810,
45,45531,-1637470121,987941580,-1188170125,1262827287,1242475342,1270295263,-2114911789,-1726983346,
46,46531,-1591809928,412584646,-1157069853,834802458,1253135076,1261781288,-2110140711,-1732565375,
47,47531,-1324131716,-224447854,-1013645833,365722799,1259169355,1249377251,-2107615389,-1740309838,
48,48531,-872030294,-833686624,-778041427,-78530836,1257321846,1239804712,-2108698406,-1746018596,
49,49531,-299001722,-1329565850,-483346625,-435564321,1248589035,1238270767,-2112805410,-1746585924,
50,50531,314473710,-1642440802,-170950438,-655233331,1237689153,1245611013,-2117717492,-1741702599,
51,51531,882235191,-1728368974,115272032,-706686186,1230533921,1257829314,-2120769138,-1734026993,
52,52531,1324542410,-1575282321,335121690,-582696273,1231017656,1268296330,-2120299758,-1727722603,
53,53531,1579274488,-1204681150,457721268,-300677713,1238876919,1271354261,-2116564515,-1726195931,
54,54531,1610655265,-668615359,465852092,99760836,1249835598,1265354430,-2111595761,-1730270719,
55,55531,1414277146,-42373815,358372149,562378988,1257952573,1253534011,-2108086396,-1737747782,
56,56531,1017721074,586089736,150376717,1022203390,1258843684,1242289416,-2107931292,-1744579790,
57,57531,476682092,1128509406,-128921905,1414653065,1252029014,1237730012,-2111213967,-1747054402,
58,58531,-132852513,1508704083,-440297015,1684609633,1241186400,1242339638,-2116162655,-1743822790,
59,59531,-725275372,1673276348,-740016928,1794158512,1232189005,1253607612,-2120095845,-1736645654,
60,60531,-1217382501,1599112731,-985986832,1727913812,1229928775,1265411147,-2120874619,-1729421206,
61,61531,-1540058939,1296629245,-1143661084,1495179501,1235637765,1271363353,-2118074340,-1726057795,
62,62531,-1647985635,808308658,-1190894677,1128642381,1246206631,1268253035,-2113220016,-1728370193,
63,63531,-1526004660,202734321,-1121053886,679781476,1255898512,1257757012,-2108945976,-1735110955,
64,64531,-1191247832,-435042771,-943947591,211637999,1259472883,1245548668,-2107562513,-1742636176,
65,65531,-690730873,-1015448659,-684449885,-210038710,1255002056,1238252150,-2109815860,-1746861350,
66,66531,-94749793,-1456967101,-379006419,-526025354,1244897835,1239840214,-2114490134,-1745485908,
67,67531,512991587,-1697588077,-70515826,-691942620,1234625625,1249447389,-2119056485,-1739259247,
68,68531,1047137789,-1703517186,197695302,-684487908,1229764221,1261847963,-2121034333,-1731567588,
69,69531,1432669681,-1473921544,387957518,-504708262,1232961378,1270322539,-2119346085,-1726577810,
70,70531,1615440289,-1041047413,473549055,-177853014,1242475342,1270295263,-2114911789,-1726983346,
71,71531,1569780095,-465690480,442448782,250171815,1253135076,1261781288,-2110140711,-1732565375,
72,72531,1302101883,171342021,299024763,719251473,1259169355,1249377251,-2107615389,-1740309838,
73,73531,850000461,780580791,63420356,1163505109,1257321846,1239804712,-2108698406,-1746018596,
74,74531,276971890,1276460017,-231274445,1520538593,1248589035,1238270767,-2112805410,-1746585924,
75,75531,-336503542,1589334969,-543670632,1740207603,1237689153,1245611013,-2117717492,-1741702599,
76,76531,-904265023,1675263141,-829893103,1791660459,1230533921,1257829314,-2120769138,-1734026993,
77,77531,-1346572242,1522176488,-1049742760,1667670546,1231017656,1268296330,-2120299758,-1727722603,
78,78531,-1601304321,1151575317,-1172342338,1385651986,1238876919,1271354261,-2116564515,-1726195931,
79,79531,-1632685098,615509526,-1180473162,985213436,1249835598,1265354430,-2111595761,-1730270719,
80,80531,-1436306979,-10732018,-1072993219,522595284,1257952573,1253534011,-2108086396,-1737747782,
81,81531,-1039750907,-639195569,-864997787,62770883,1258843684,1242289416,-2107931292,-1744579790,
82,82531,-498711925,-1181615240,-585699165,-329678793,1252029014,1237730012,-2111213967,-1747054402,
83,83531,110822681,-1561809916,-274324055,-599635361,1241186400,1242339638,-2116162655,-1743822790,
84,84531,703245539,-1726382181,25395857,-709184239,1232189005,1253607612,-2120095845,-1736645654,
85,85531,1195352669,-1652218564,271365762,-642939540,1229928775,1265411147,-2120874619,-1729421206,
86,86531,1518029106,-1349735079,429040014,-410205229,1235637765,1271363353,-2118074340,-1726057795,
87,87531,1625955803,-861414491,476273607,-43668109,1246206631,1268253035,-2113220016,-1728370193,
88,88531,1503974828,-255840154,406432816,405192796,1255898512,1257757012,-2108945976,-1735110955,
89,89531,1169217999,381936937,229326521,873336274,1259472883,1245548668,-2107562513,-1742636176,
90,90531,668701041,962342826,-30171186,1295012982,1255002056,1238252150,-2109815860,-1746861350,
91,91531,72719961,1403861267,-335614651,1610999627,1244897835,1239840214,-2114490134,-1745485908,
92,92531,-535021419,1644482244,-644105244,1776916893,1234625625,1249447389,-2119056485,-1739259247,
93,93531,-1069167622,1650411353,-912316372,1769462180,1229764221,1261847963,-2121034333,-1731567588,
94,94531,-1454699514,1420815711,-1102578588,1589682534,1232961378,1270322539,-2119346085,-1726577810,
95,95531,-1637470121,987941580,-1188170125,1262827287,1242475342,1270295263,-2114911789,-1726983346,
96,96531,-1591809928,412584646,-1157069853,834802458,1253135076,1261781288,-2110140711,-1732565375,
97,97531,-1324131716,-224447854,-1013645833,365722799,1259169355,1249377251,-2107615389,-1740309838,
98,98531,-872030294,-833686624,-778041427,-78530836,1257321846,1239804712,-2108698406,-1746018596,
99,99531,-299001722,-1329565850,-483346625,-435564321,1248589035,1238270767,-2112805410,-1746585924,
100,100531,314473710,-1642440802,-170950438,-655233331,1237689153,1245611013,-2117717492,-1741702599,
101,101531,882235191,-1728368974,115272032,-706686186,1230533921,1257829314,-2120769138,-1734026993,
102,102531,1324542410,-1575282321,335121690,-582696273,1231017656,1268296330,-2120299758,-1727722603,
