1,1531,882235191,-1728368974,115272032,-706686186,
2,2531,1324542410,-1575282321,335121690,-582696273,
3,3531,1579274488,-1204681150,457721268,-300677713,
4,4531,1610655265,-668615359,465852092,99760836,
5,5531,1414277146,-42373818,358372149,562378988,
6,6531,1017721074,586089736,150376717,1022203390,
7,7531,476682092,1128509406,-128921905,1414653065,
8,8531,-132852513,1508704083,-440297015,1684609633,
9,9531,-725275372,1673276348,-740016928,1794158512,
10,10531,-1217382501,1599112731,-985986832,1727913812,
11,11531,-1540058939,1296629245,-1143661084,1495179501,
12,12531,-1647985635,808308658,-1190894677,1128642381,
13,13531,-1526004660,202734321,-1121053886,679781476,
14,14531,-1191247832,-435042771,-943947591,211637999,
15,15531,-690730873,-1015448659,-684449885,-210038710,
16,16531,-94749793,-1456967101,-379006421,-526025354,
17,17531,512991587,-1697588077,-70515826,-691942620,
18,18531,1047137789,-1703517186,197695302,-684487908,
19,19531,1432669681,-1473921544,387957518,-504708262,
20,20531,1615440289,-1041047413,473549055,-177853014,
21,21531,1569780095,-465690480,442448782,250171815,
22,22531,1302101883,171342021,299024763,719251473,
23,23531,850000461,780580791,63420356,1163505109,
24,24531,276971890,1276460017,-231274445,1520538593,
25,25531,-336503542,1589334969,-543670632,1740207603,
26,26531,-904265023,1675263141,-829893103,1791660459,
27,27531,-1346572242,1522176488,-1049742760,1667670546,
28,28531,-1601304321,1151575317,-1172342338,1385651986,
29,29531,-1632685098,615509526,-1180473162,985213436,
30,30531,-1436306979,-10732016,-1072993219,522595284,
31,31531,-1039750907,-639195569,-864997787,62770883,
32,32531,-498711925,-1181615240,-585699165,-329678793,
33,33531,110822681,-1561809916,-274324055,-599635361,
34,34531,703245539,-1726382181,25395857,-709184239,
35,35531,1195352669,-1652218564,271365762,-642939540,
36,36531,1518029106,-1349735079,429040014,-410205229,
37,37531,1625955803,-861414491,476273607,-43668109,
38,38531,1503974828,-255840154,406432816,405192796,
39,39531,1169217999,381936937,229326521,873336274,
40,40531,668701041,962342826,-30171186,1295012982,
41,41531,72719961,1403861267,-335614650,1610999627,
42,42531,-535021419,1644482244,-644105244,1776916893,
43,43531,-1069167622,1650411353,-912316372,1769462180,
44,44531,-1454699514,1420815711,-1102578588,1589682534,
45,45531,-1637470121,987941580,-1188170125,1262827287,
46,46531,-1591809928,412584646,-1157069853,834802458,
47,47531,-1324131716,-224447854,-1013645833,365722799,
48,48531,-872030294,-833686624,-778041427,-78530836,
49,49531,-299001722,-1329565850,-483346625,-435564321,
50,50531,314473710,-1642440802,-170950438,-655233331,
51,51531,882235191,-1728368974,115272032,-706686186,
52,52531,1324542410,-1575282321,335121690,-582696273,
53,53531,1579274488,-1204681150,457721268,-300677713,
54,54531,1610655265,-668615359,465852092,99760836,
55,55531,1414277146,-42373818,358372149,562378988,
56,56531,1017721074,586089736,150376717,1022203390,
57,57531,476682092,1128509406,-128921905,1414653065,
58,58531,-132852513,1508704083,-440297015,1684609633,
59,59531,-725275372,1673276348,-740016928,1794158512,
60,60531,-1217382501,1599112731,-985986832,1727913812,
61,61531,-1540058939,1296629245,-1143661084,1495179501,
62,62531,-1647985635,808308658,-1190894677,1128642381,
63,63531,-1526004660,202734321,-1121053886,679781476,
64,64531,-1191247832,-435042771,-943947591,211637999,
65,65531,-690730873,-1015448659,-684449885,-210038710,
66,66531,-94749793,-1456967101,-379006421,-526025354,
67,67531,512991587,-1697588077,-70515826,-691942620,
68,68531,1047137789,-1703517186,197695302,-684487908,
69,69531,1432669681,-1473921544,387957518,-504708262,
70,70531,1615440289,-1041047413,473549055,-177853014,
71,71531,1569780095,-465690480,442448782,250171815,
72,72531,1302101883,171342021,299024763,719251473,
73,73531,850000461,780580791,63420356,1163505109,
74,74531,276971890,1276460017,-231274445,1520538593,
75,75531,-336503542,1589334969,-543670632,1740207603,
76,76531,-904265023,1675263141,-829893103,1791660459,
77,77531,-1346572242,1522176488,-1049742760,1667670546,
78,78531,-1601304321,1151575317,-1172342338,1385651986,
79,79531,-1632685098,615509526,-1180473162,985213436,
80,80531,-1436306979,-10732016,-1072993219,522595284,
81,81531,-1039750907,-639195569,-864997787,62770883,
82,82531,-498711925,-1181615240,-585699165,-329678793,
83,83531,110822681,-1561809916,-274324055,-599635361,
84,84531,703245539,-1726382181,25395857,-709184239,
85,85531,1195352669,-1652218564,271365762,-642939540,
86,86531,1518029106,-1349735079,429040014,-410205229,
87,87531,1625955803,-861414491,476273607,-43668109,
88,88531,1503974828,-255840154,406432816,405192796,
89,89531,1169217999,381936937,229326521,873336274,
90,90531,668701041,962342826,-30171186,1295012982,
91,91531,72719961,1403861267,-335614650,1610999627,
92,92531,-535021419,1644482244,-644105244,1776916893,
93,93531,-1069167622,1650411353,-912316372,1769462180,
94,94531,-1454699514,1420815711,-1102578588,1589682534,
95,95531,-1637470121,987941580,-1188170125,1262827287,
96,96531,-1591809928,412584646,-1157069853,834802458,
97,97531,-1324131716,-224447854,-1013645833,365722799,
98,98531,-872030294,-833686624,-778041427,-78530836,
99,99531,-299001722,-1329565850,-483346625,-435564321,
100,100531,314473710,-1642440802,-170950438,-655233331,
101,101531,882235191,-1728368974,115272032,-706686186,
102,102531,1324542410,-1575282321,335121690,-582696273,
103,103531,1579274488,-1204681150,457721268,-300677713,
104,104531,1610655265,-668615359,465852092,99760836,
105,105531,1414277146,-42373818,358372149,562378988,
106,106531,1017721074,586089736,150376717,1022203390,
107,107531,476682092,1128509406,-128921905,1414653065,
108,108531,-132852513,1508704083,-440297015,1684609633,
109,109531,-725275372,1673276348,-740016928,1794158512,
110,110531,-1217382501,1599112731,-985986832,1727913812,
111,111531,-1540058939,1296629245,-1143661084,1495179501,
112,112531,-1647985635,808308658,-1190894677,1128642381,
113,113531,-1526004660,202734321,-1121053886,679781476,
114,114531,-1191247832,-435042771,-943947591,211637999,
115,115531,-690730873,-1015448659,-684449885,-210038710,
116,116531,-94749793,-1456967101,-379006421,-526025354,
117,117531,512991587,-1697588077,-70515826,-691942620,
118,118531,1047137789,-1703517186,197695302,-684487908,
119,119531,1432669681,-1473921544,387957518,-504708262,
120,120531,1615440289,-1041047413,473549055,-177853014,
121,121531,1569780095,-465690480,442448782,250171815,
122,122531,1302101883,171342021,299024763,719251473,
123,123531,850000461,780580791,63420356,1163505109,
124,124531,276971890,1276460017,-231274445,1520538593,
125,125531,-336503542,1589334969,-543670632,1740207603,
126,126531,-904265023,1675263141,-829893103,1791660459,
127,127531,-1346572242,1522176488,-1049742760,1667670546,
128,128531,-1601304321,1151575317,-1172342338,1385651986,
129,129531,-1632685098,615509526,-1180473162,985213436,
130,130531,-1436306979,-10732016,-1072993219,522595284,
131,131531,-1039750907,-639195569,-864997787,62770883,
132,132531,-498711925,-1181615240,-585699165,-329678793,
133,133531,110822681,-1561809916,-274324055,-599635361,
134,134531,703245539,-1726382181,25395857,-709184239,
135,135531,1195352669,-1652218564,271365762,-642939540,
136,136531,1518029106,-1349735079,429040014,-410205229,
137,137531,1625955803,-861414491,476273607,-43668109,
138,138531,1503974828,-255840154,406432816,405192796,
139,139531,1169217999,381936937,229326521,873336274,
140,140531,668701041,962342826,-30171186,1295012982,
141,141531,72719961,1403861267,-335614650,1610999627,
142,142531,-535021419,1644482244,-644105244,1776916893,
143,143531,-1069167622,1650411353,-912316372,1769462180,
144,144531,-1454699514,1420815711,-1102578588,1589682534,
145,145531,-1637470121,987941580,-1188170125,1262827287,
146,146531,-1591809928,412584646,-1157069853,834802458,
147,147531,-1324131716,-224447854,-1013645833,365722799,
148,148531,-872030294,-833686624,-778041427,-78530836,
149,149531,-299001722,-1329565850,-483346625,-435564321,
150,150531,314473710,-1642440802,-170950438,-655233331,
151,151531,882235191,-1728368974,115272032,-706686186,
152,152531,1324542410,-1575282321,335121690,-582696273,
153,153531,1579274488,-1204681150,457721268,-300677713,
154,154531,1610655265,-668615359,465852092,99760836,
155,155531,1414277146,-42373818,358372149,562378988,
156,156531,1017721074,586089736,150376717,1022203390,
157,157531,476682092,1128509406,-128921905,1414653065,
158,158531,-132852513,1508704083,-440297015,1684609633,
159,159531,-725275372,1673276348,-740016928,1794158512,
160,160531,-1217382501,1599112731,-985986832,1727913812,
161,161531,-1540058939,1296629245,-1143661084,1495179501,
162,162531,-1647985635,808308658,-1190894677,1128642381,
