Grandeza,MAE,RMSE,Erro_relativo_pico_percent,NRMSE_percent
Tensao FDT,16311.2485232727,33885.7310557469,13.1576826480418,13.1576826480418
Corrente FDT,54.1184367575127,138.710922378818,10.337478601548,10.337478601548
