Grandeza,MAE,RMSE,Erro_relativo_pico_percent,NRMSE_percent
Tensao,7898.18819431385,14799.992846833,2.34520364759424,1.18576766163987
Corrente,212.517366272013,266.504182058133,4.13691311631534,2.6593446272552
