sample,ts_comtrade,dt_us,t_us,adcA_raw,adcB_raw,adcA_V,adcB_V,dacA_code,dacB_code
56,27500,500,27500,868,2313,0.699487,1.863956,1031,2466
57,28000,500,28000,559,2407,0.450476,1.939707,717,2560
58,28500,500,28500,291,2480,0.234506,1.998535,455,2634
59,29000,500,29000,91,2539,0.073333,2.046081,249,2694
60,29500,500,29500,0,2582,0.000000,2.080733,103,2735
61,30000,500,30000,0,2594,0.000000,2.090403,14,2745
62,30500,500,30500,0,2559,0.000000,2.062198,6,2729
63,31000,500,31000,0,2523,0.000000,2.033187,67,2681
64,31500,500,31500,47,2465,0.037875,1.986447,205,2620
65,32000,500,32000,247,2390,0.199048,1.926007,411,2546
66,32500,500,32500,511,2293,0.411795,1.847839,678,2449
67,33000,500,33000,825,2179,0.664835,1.755971,989,2336
68,33500,500,33500,1168,2058,0.941245,1.658462,1328,2207
69,34000,500,34000,1526,1918,1.229744,1.545641,1685,2071
70,34500,500,34500,1904,1787,1.534359,1.440073,2064,1942
71,35000,500,35000,2287,1667,1.843004,1.343370,2449,1816
