host_t_s,esp_t_us,set_mv_cmd,set_mv_esp,adc_v,adc_i,adc_v_volts,adc_i_volts,mv_v_corr,mv_i_corr,err_v_mv,err_i_mv
20.303605,18097577,0,0,0,1,0.000000,0.000806,0.306,-10.516,0.306,-10.516
20.304717,18098587,0,0,0,0,0.000000,0.000000,0.306,-12.004,0.306,-12.004
20.305642,18099598,0,0,0,5,0.000000,0.004029,0.306,-4.564,0.306,-4.564
20.306654,18100608,0,0,0,0,0.000000,0.000000,0.306,-12.004,0.306,-12.004
20.307762,18101618,0,0,0,0,0.000000,0.000000,0.306,-12.004,0.306,-12.004
20.308668,18102627,0,0,0,1,0.000000,0.000806,0.306,-10.516,0.306,-10.516
20.309655,18103639,0,0,0,2,0.000000,0.001612,0.306,-9.028,0.306,-9.028
20.310736,18104648,0,0,0,0,0.000000,0.000000,0.306,-12.004,0.306,-12.004
20.311694,18105658,0,0,0,0,0.000000,0.000000,0.306,-12.004,0.306,-12.004
20.312751,18106668,0,0,0,1,0.000000,0.000806,0.306,-10.516,0.306,-10.516
20.313710,18107680,0,0,0,0,0.000000,0.000000,0.306,-12.004,0.306,-12.004
20.314750,18108690,0,0,0,0,0.000000,0.000000,0.306,-12.004,0.306,-12.004
20.315757,18109699,0,0,0,1,0.000000,0.000806,0.306,-10.516,0.306,-10.516
20.316733,18110708,0,0,0,0,0.000000,0.000000,0.306,-12.004,0.306,-12.004
20.317789,18111720,0,0,0,0,0.000000,0.000000,0.306,-12.004,0.306,-12.004
20.318790,18112730,0,0,0,0,0.000000,0.000000,0.306,-12.004,0.306,-12.004
20.319756,18113740,0,0,0,0,0.000000,0.000000,0.306,-12.004,0.306,-12.004
20.320766,18114749,0,0,0,0,0.000000,0.000000,0.306,-12.004,0.306,-12.004
20.321772,18115763,0,0,0,0,0.000000,0.000000,0.306,-12.004,0.306,-12.004
20.322783,18116761,0,0,0,1,0.000000,0.000806,0.306,-10.516,0.306,-10.516
20.323826,18117774,0,0,0,0,0.000000,0.000000,0.306,-12.004,0.306,-12.004
20.324786,18118773,0,0,0,1,0.000000,0.000806,0.306,-10.516,0.306,-10.516
20.325795,18119775,0,0,0,1,0.000000,0.000806,0.306,-10.516,0.306,-10.516
20.326825,18120774,0,0,0,2,0.000000,0.001612,0.306,-9.028,0.306,-9.028
20.327789,18121787,0,0,0,0,0.000000,0.000000,0.306,-12.004,0.306,-12.004
20.328824,18122788,0,0,0,1,0.000000,0.000806,0.306,-10.516,0.306,-10.516
20.329799,18123790,0,0,0,2,0.000000,0.001612,0.306,-9.028,0.306,-9.028
20.330776,18124790,0,0,0,2,0.000000,0.001612,0.306,-9.028,0.306,-9.028
20.331778,18125790,0,0,0,2,0.000000,0.001612,0.306,-9.028,0.306,-9.028
20.332832,18126790,0,0,0,1,0.000000,0.000806,0.306,-10.516,0.306,-10.516
20.333725,18127790,0,0,0,1,0.000000,0.000806,0.306,-10.516,0.306,-10.516
20.334826,18128790,0,0,0,1,0.000000,0.000806,0.306,-10.516,0.306,-10.516
20.335754,18129791,0,0,0,2,0.000000,0.001612,0.306,-9.028,0.306,-9.028
20.336791,18130790,0,0,0,2,0.000000,0.001612,0.306,-9.028,0.306,-9.028
20.337810,18131790,0,0,0,3,0.000000,0.002418,0.306,-7.540,0.306,-7.540
20.338767,18132789,0,0,0,2,0.000000,0.001612,0.306,-9.028,0.306,-9.028
20.339777,18133790,0,0,0,2,0.000000,0.001612,0.306,-9.028,0.306,-9.028
20.340834,18134790,0,0,0,3,0.000000,0.002418,0.306,-7.540,0.306,-7.540
20.341688,18135789,0,0,0,2,0.000000,0.001612,0.306,-9.028,0.306,-9.028
20.342825,18136789,0,0,0,3,0.000000,0.002418,0.306,-7.540,0.306,-7.540
20.343721,18137789,0,0,0,3,0.000000,0.002418,0.306,-7.540,0.306,-7.540
20.344785,18138790,0,0,0,3,0.000000,0.002418,0.306,-7.540,0.306,-7.540
20.345845,18139793,0,0,0,1,0.000000,0.000806,0.306,-10.516,0.306,-10.516
20.346818,18140793,0,0,0,3,0.000000,0.002418,0.306,-7.540,0.306,-7.540
20.347761,18141806,0,0,0,3,0.000000,0.002418,0.306,-7.540,0.306,-7.540
20.348743,18142806,0,0,0,3,0.000000,0.002418,0.306,-7.540,0.306,-7.540
20.349769,18143820,0,0,0,3,0.000000,0.002418,0.306,-7.540,0.306,-7.540
20.350822,18144819,0,0,0,2,0.000000,0.001612,0.306,-9.028,0.306,-9.028
20.351843,18145820,0,0,0,2,0.000000,0.001612,0.306,-9.028,0.306,-9.028
20.352875,18146819,0,0,0,3,0.000000,0.002418,0.306,-7.540,0.306,-7.540
20.353843,18147820,0,0,0,4,0.000000,0.003223,0.306,-6.052,0.306,-6.052
20.354712,18148820,0,0,0,5,0.000000,0.004029,0.306,-4.564,0.306,-4.564
20.355832,18149819,0,0,0,5,0.000000,0.004029,0.306,-4.564,0.306,-4.564
20.356767,18150819,0,0,0,2,0.000000,0.001612,0.306,-9.028,0.306,-9.028
20.357775,18151819,0,0,0,2,0.000000,0.001612,0.306,-9.028,0.306,-9.028
20.358836,18152820,0,0,0,3,0.000000,0.002418,0.306,-7.540,0.306,-7.540
20.359777,18153820,0,0,0,3,0.000000,0.002418,0.306,-7.540,0.306,-7.540
20.360826,18154820,0,0,0,3,0.000000,0.002418,0.306,-7.540,0.306,-7.540
20.361851,18155819,0,0,0,3,0.000000,0.002418,0.306,-7.540,0.306,-7.540
20.362708,18156819,0,0,0,5,0.000000,0.004029,0.306,-4.564,0.306,-4.564
20.363827,18157820,0,0,0,3,0.000000,0.002418,0.306,-7.540,0.306,-7.540
20.364863,18158820,0,0,0,3,0.000000,0.002418,0.306,-7.540,0.306,-7.540
20.365871,18159832,0,0,0,3,0.000000,0.002418,0.306,-7.540,0.306,-7.540
20.366877,18160831,0,0,0,3,0.000000,0.002418,0.306,-7.540,0.306,-7.540
20.367880,18161832,0,0,0,2,0.000000,0.001612,0.306,-9.028,0.306,-9.028
20.368870,18162831,0,0,0,2,0.000000,0.001612,0.306,-9.028,0.306,-9.028
20.369868,18163831,0,0,0,1,0.000000,0.000806,0.306,-10.516,0.306,-10.516
20.370845,18164831,0,0,0,2,0.000000,0.001612,0.306,-9.028,0.306,-9.028
20.371877,18165833,0,0,0,2,0.000000,0.001612,0.306,-9.028,0.306,-9.028
20.372881,18166832,0,0,0,2,0.000000,0.001612,0.306,-9.028,0.306,-9.028
20.373884,18167832,0,0,0,4,0.000000,0.003223,0.306,-6.052,0.306,-6.052
20.374892,18168831,0,0,0,2,0.000000,0.001612,0.306,-9.028,0.306,-9.028
20.375863,18169833,0,0,0,3,0.000000,0.002418,0.306,-7.540,0.306,-7.540
20.376859,18170832,0,0,0,2,0.000000,0.001612,0.306,-9.028,0.306,-9.028
20.377845,18171833,0,0,0,0,0.000000,0.000000,0.306,-12.004,0.306,-12.004
20.378854,18172832,0,0,0,1,0.000000,0.000806,0.306,-10.516,0.306,-10.516
20.379843,18173832,0,0,0,0,0.000000,0.000000,0.306,-12.004,0.306,-12.004
20.380847,18174831,0,0,0,1,0.000000,0.000806,0.306,-10.516,0.306,-10.516
20.381843,18175832,0,0,0,0,0.000000,0.000000,0.306,-12.004,0.306,-12.004
20.382845,18176832,0,0,0,0,0.000000,0.000000,0.306,-12.004,0.306,-12.004
20.383859,18177832,0,0,0,0,0.000000,0.000000,0.306,-12.004,0.306,-12.004
20.384862,18178833,0,0,0,0,0.000000,0.000000,0.306,-12.004,0.306,-12.004
20.385842,18179832,0,0,0,0,0.000000,0.000000,0.306,-12.004,0.306,-12.004
20.386852,18180832,0,0,0,0,0.000000,0.000000,0.306,-12.004,0.306,-12.004
20.387857,18181832,0,0,0,2,0.000000,0.001612,0.306,-9.028,0.306,-9.028
20.388861,18182832,0,0,0,0,0.000000,0.000000,0.306,-12.004,0.306,-12.004
20.389891,18183833,0,0,0,0,0.000000,0.000000,0.306,-12.004,0.306,-12.004
20.390856,18184832,0,0,0,2,0.000000,0.001612,0.306,-9.028,0.306,-9.028
20.391852,18185833,0,0,0,2,0.000000,0.001612,0.306,-9.028,0.306,-9.028
20.392852,18186832,0,0,0,0,0.000000,0.000000,0.306,-12.004,0.306,-12.004
20.393850,18187832,0,0,0,0,0.000000,0.000000,0.306,-12.004,0.306,-12.004
20.394843,18188832,0,0,0,0,0.000000,0.000000,0.306,-12.004,0.306,-12.004
20.395849,18189831,0,0,0,2,0.000000,0.001612,0.306,-9.028,0.306,-9.028
20.396858,18190833,0,0,0,0,0.000000,0.000000,0.306,-12.004,0.306,-12.004
20.397856,18191833,0,0,0,1,0.000000,0.000806,0.306,-10.516,0.306,-10.516
20.398851,18192845,0,0,0,1,0.000000,0.000806,0.306,-10.516,0.306,-10.516
20.399866,18193846,0,0,0,1,0.000000,0.000806,0.306,-10.516,0.306,-10.516
20.400855,18194844,0,0,0,1,0.000000,0.000806,0.306,-10.516,0.306,-10.516
20.401851,18195858,0,0,0,1,0.000000,0.000806,0.306,-10.516,0.306,-10.516
20.402856,18196858,0,0,0,0,0.000000,0.000000,0.306,-12.004,0.306,-12.004
20.403855,18197858,0,0,0,1,0.000000,0.000806,0.306,-10.516,0.306,-10.516
20.404855,18198857,0,0,0,4,0.000000,0.003223,0.306,-6.052,0.306,-6.052
20.405868,18199857,0,0,0,0,0.000000,0.000000,0.306,-12.004,0.306,-12.004
20.406860,18200869,0,0,0,2,0.000000,0.001612,0.306,-9.028,0.306,-9.028
20.407870,18201871,0,0,0,3,0.000000,0.002418,0.306,-7.540,0.306,-7.540
20.408855,18202871,0,0,0,2,0.000000,0.001612,0.306,-9.028,0.306,-9.028
20.409849,18203869,0,0,0,1,0.000000,0.000806,0.306,-10.516,0.306,-10.516
20.410868,18204870,0,0,0,2,0.000000,0.001612,0.306,-9.028,0.306,-9.028
20.411823,18205869,0,0,0,2,0.000000,0.001612,0.306,-9.028,0.306,-9.028
20.412779,18206871,0,0,0,1,0.000000,0.000806,0.306,-10.516,0.306,-10.516
20.413826,18207882,0,0,0,3,0.000000,0.002418,0.306,-7.540,0.306,-7.540
20.414799,18208883,0,0,0,0,0.000000,0.000000,0.306,-12.004,0.306,-12.004
20.415784,18209883,0,0,0,1,0.000000,0.000806,0.306,-10.516,0.306,-10.516
20.416814,18210884,0,0,0,2,0.000000,0.001612,0.306,-9.028,0.306,-9.028
20.417804,18211883,0,0,0,2,0.000000,0.001612,0.306,-9.028,0.306,-9.028
20.418801,18212883,0,0,0,3,0.000000,0.002418,0.306,-7.540,0.306,-7.540
20.419837,18213884,0,0,0,2,0.000000,0.001612,0.306,-9.028,0.306,-9.028
20.420783,18214883,0,0,0,1,0.000000,0.000806,0.306,-10.516,0.306,-10.516
20.421812,18215884,0,0,0,2,0.000000,0.001612,0.306,-9.028,0.306,-9.028
20.422837,18216883,0,0,0,2,0.000000,0.001612,0.306,-9.028,0.306,-9.028
20.423809,18217883,0,0,0,2,0.000000,0.001612,0.306,-9.028,0.306,-9.028
20.424852,18218884,0,0,0,3,0.000000,0.002418,0.306,-7.540,0.306,-7.540
20.425838,18219886,0,0,0,3,0.000000,0.002418,0.306,-7.540,0.306,-7.540
20.426881,18220886,0,0,0,2,0.000000,0.001612,0.306,-9.028,0.306,-9.028
20.427913,18221887,0,0,0,5,0.000000,0.004029,0.306,-4.564,0.306,-4.564
20.428892,18222887,0,0,0,4,0.000000,0.003223,0.306,-6.052,0.306,-6.052
20.429910,18223887,0,0,0,3,0.000000,0.002418,0.306,-7.540,0.306,-7.540
20.430926,18224887,0,0,0,2,0.000000,0.001612,0.306,-9.028,0.306,-9.028
20.431949,18225887,0,0,0,3,0.000000,0.002418,0.306,-7.540,0.306,-7.540
20.432911,18226886,0,0,0,2,0.000000,0.001612,0.306,-9.028,0.306,-9.028
20.433924,18227887,0,0,0,2,0.000000,0.001612,0.306,-9.028,0.306,-9.028
20.434918,18228886,0,0,0,2,0.000000,0.001612,0.306,-9.028,0.306,-9.028
20.435857,18229887,0,0,0,2,0.000000,0.001612,0.306,-9.028,0.306,-9.028
20.436846,18230887,0,0,0,3,0.000000,0.002418,0.306,-7.540,0.306,-7.540
20.437914,18231886,0,0,0,6,0.000000,0.004835,0.306,-3.076,0.306,-3.076
20.438920,18232886,0,0,0,7,0.000000,0.005641,0.306,-1.588,0.306,-1.588
20.439859,18233898,0,0,0,6,0.000000,0.004835,0.306,-3.076,0.306,-3.076
20.441046,18234899,0,0,0,9,0.000000,0.007253,0.306,1.387,0.306,1.387
20.442002,18235899,0,0,0,8,0.000000,0.006447,0.306,-0.100,0.306,-0.100
20.442913,18236900,0,0,0,8,0.000000,0.006447,0.306,-0.100,0.306,-0.100
20.443903,18237899,0,0,0,7,0.000000,0.005641,0.306,-1.588,0.306,-1.588
20.444883,18238912,0,0,0,4,0.000000,0.003223,0.306,-6.052,0.306,-6.052
20.445863,18239912,0,0,0,4,0.000000,0.003223,0.306,-6.052,0.306,-6.052
20.446870,18240912,0,0,0,3,0.000000,0.002418,0.306,-7.540,0.306,-7.540
20.447961,18241913,0,0,0,2,0.000000,0.001612,0.306,-9.028,0.306,-9.028
20.448943,18242913,0,0,0,2,0.000000,0.001612,0.306,-9.028,0.306,-9.028
20.449912,18243913,0,0,0,3,0.000000,0.002418,0.306,-7.540,0.306,-7.540
20.450934,18244914,0,0,0,2,0.000000,0.001612,0.306,-9.028,0.306,-9.028
20.451973,18245915,0,0,0,3,0.000000,0.002418,0.306,-7.540,0.306,-7.540
20.452962,18246915,0,0,0,2,0.000000,0.001612,0.306,-9.028,0.306,-9.028
20.453976,18247915,0,0,0,3,0.000000,0.002418,0.306,-7.540,0.306,-7.540
20.455034,18248927,0,0,0,2,0.000000,0.001612,0.306,-9.028,0.306,-9.028
20.455957,18249928,0,0,0,2,0.000000,0.001612,0.306,-9.028,0.306,-9.028
20.457015,18250927,0,0,0,3,0.000000,0.002418,0.306,-7.540,0.306,-7.540
20.458005,18251927,0,0,0,2,0.000000,0.001612,0.306,-9.028,0.306,-9.028
20.459014,18252928,0,0,0,1,0.000000,0.000806,0.306,-10.516,0.306,-10.516
20.460020,18253930,0,0,0,2,0.000000,0.001612,0.306,-9.028,0.306,-9.028
20.460959,18254932,0,0,0,0,0.000000,0.000000,0.306,-12.004,0.306,-12.004
20.462028,18255934,0,0,0,0,0.000000,0.000000,0.306,-12.004,0.306,-12.004
20.462980,18256934,0,0,0,0,0.000000,0.000000,0.306,-12.004,0.306,-12.004
20.463963,18257934,0,0,0,0,0.000000,0.000000,0.306,-12.004,0.306,-12.004
20.465017,18258947,0,0,0,0,0.000000,0.000000,0.306,-12.004,0.306,-12.004
20.465971,18259947,0,0,0,2,0.000000,0.001612,0.306,-9.028,0.306,-9.028
20.466958,18260948,0,0,0,0,0.000000,0.000000,0.306,-12.004,0.306,-12.004
20.468029,18261948,0,0,0,0,0.000000,0.000000,0.306,-12.004,0.306,-12.004
20.468937,18262959,0,0,0,1,0.000000,0.000806,0.306,-10.516,0.306,-10.516
20.469955,18263959,0,0,0,0,0.000000,0.000000,0.306,-12.004,0.306,-12.004
20.471058,18264960,0,0,0,1,0.000000,0.000806,0.306,-10.516,0.306,-10.516
20.472040,18265960,0,0,0,0,0.000000,0.000000,0.306,-12.004,0.306,-12.004
20.473092,18266960,0,0,0,1,0.000000,0.000806,0.306,-10.516,0.306,-10.516
20.474063,18267959,0,0,0,0,0.000000,0.000000,0.306,-12.004,0.306,-12.004
20.475095,18268959,0,0,0,2,0.000000,0.001612,0.306,-9.028,0.306,-9.028
20.476071,18269960,0,0,0,1,0.000000,0.000806,0.306,-10.516,0.306,-10.516
20.477095,18270960,0,0,0,1,0.000000,0.000806,0.306,-10.516,0.306,-10.516
20.478089,18271959,0,0,0,0,0.000000,0.000000,0.306,-12.004,0.306,-12.004
20.479059,18272959,0,0,0,3,0.000000,0.002418,0.306,-7.540,0.306,-7.540
20.480037,18273959,0,0,0,0,0.000000,0.000000,0.306,-12.004,0.306,-12.004
20.481094,18274960,0,0,0,0,0.000000,0.000000,0.306,-12.004,0.306,-12.004
20.482081,18275961,0,0,0,0,0.000000,0.000000,0.306,-12.004,0.306,-12.004
20.483088,18276960,0,0,0,0,0.000000,0.000000,0.306,-12.004,0.306,-12.004
20.484041,18277961,0,0,0,0,0.000000,0.000000,0.306,-12.004,0.306,-12.004
20.485030,18278960,0,0,0,0,0.000000,0.000000,0.306,-12.004,0.306,-12.004
20.486095,18279960,0,0,0,0,0.000000,0.000000,0.306,-12.004,0.306,-12.004
20.487062,18280961,0,0,0,0,0.000000,0.000000,0.306,-12.004,0.306,-12.004
20.488083,18281960,0,0,0,1,0.000000,0.000806,0.306,-10.516,0.306,-10.516
20.488997,18282959,0,0,0,0,0.000000,0.000000,0.306,-12.004,0.306,-12.004
20.489996,18283961,0,0,0,0,0.000000,0.000000,0.306,-12.004,0.306,-12.004
20.491183,18284960,0,0,0,1,0.000000,0.000806,0.306,-10.516,0.306,-10.516
20.492101,18285972,0,0,0,0,0.000000,0.000000,0.306,-12.004,0.306,-12.004
20.492971,18286972,0,0,0,1,0.000000,0.000806,0.306,-10.516,0.306,-10.516
20.494077,18287972,0,0,0,1,0.000000,0.000806,0.306,-10.516,0.306,-10.516
20.495205,18288972,0,0,0,2,0.000000,0.001612,0.306,-9.028,0.306,-9.028
20.496183,18289972,0,0,0,1,0.000000,0.000806,0.306,-10.516,0.306,-10.516
20.497053,18290972,0,0,0,3,0.000000,0.002418,0.306,-7.540,0.306,-7.540
20.498165,18291972,0,0,0,5,0.000000,0.004029,0.306,-4.564,0.306,-4.564
20.499183,18292972,0,0,0,4,0.000000,0.003223,0.306,-6.052,0.306,-6.052
