Grandeza,MAE,RMSE,MaxAbs,Erro_relativo_pico_percent,NRMSE_percent,Pickup_21Z1_ohm,Pickup_21Z2_ohm,Trip_21Z1_s,Trip_21Z2_s,Bloqueio_67_s,Ganho_normal,Ganho_falta
Impedância FDT - ESP32 equivalente,38.9322854874071,169.629118311734,1074.69258580641,15.0478321337174,15.2217550243074,41.699968,62.549952,NaN,NaN,0.556898288016113,5.64273394559921,4.72978811629913
Impedância FDT - ciclos válidos brutos,891.635031842556,896.192345282576,937.635251736722,79.5013975522255,80.4325824812579,41.699968,62.549952,NaN,NaN,0.556898288016113,5.64273394559921,4.72978811629913
Impedância FDT - todos os ciclos brutos,680.379945854149,780.661287796389,1091.18110384751,69.2526149340898,70.0530368728266,41.699968,62.549952,NaN,NaN,0.556898288016113,5.64273394559921,4.72978811629913
