sample,t_us,dt_us,dacV_code,dacI_code,adcV_raw,adcI_raw,adcV_V,adcI_V,clipV,clipI
84,41500,500,2492,1880,2339,1741,2.028000,1.544000,0,0
85,42000,500,2330,1968,2178,1824,1.902000,1.612000,0,0
86,42500,500,2161,2064,2006,1921,1.763000,1.690000,0,0
87,43000,500,1980,2149,1831,2005,1.617000,1.756000,0,0
88,43500,500,1798,2237,1649,2099,1.470000,1.831000,0,0
89,44000,500,1623,2314,1477,2174,1.332000,1.893000,0,0
90,44500,500,1470,2386,1327,2241,1.210000,1.949000,0,0
91,45000,500,1336,2433,1191,2288,1.101000,1.985000,0,0
92,45500,500,1233,2482,1085,2337,1.019000,2.026000,0,0
93,46000,500,1154,2517,1008,2377,0.954000,2.047000,0,0
94,46500,500,1102,2533,931,2387,0.908000,2.066000,0,0
95,47000,500,1085,2528,939,2384,0.900000,2.063000,0,0
96,47500,500,1103,2500,954,2354,0.911000,2.038000,0,0
97,48000,500,1155,2458,1007,2315,0.950000,2.008000,0,0
98,48500,500,1242,2410,1094,2263,1.023000,1.964000,0,0
99,49000,500,1360,2349,1215,2205,1.118000,1.918000,0,0
100,49500,500,1499,2278,1357,2135,1.230000,1.864000,0,0
101,50000,500,1654,2190,1509,2047,1.354000,1.797000,0,0
102,50500,500,1820,2096,1679,1956,1.488000,1.717000,0,0
103,51000,500,1995,2004,1855,1860,1.630000,1.641000,0,0
104,51500,500,2176,1915,2027,1773,1.774000,1.572000,0,0
105,52000,500,2357,1832,2192,1691,1.916000,1.523000,0,0
106,52500,500,2524,1755,2370,1616,2.049000,1.444000,0,0
107,53000,500,2672,1691,2512,1552,2.167000,1.379000,0,0
108,53500,500,2795,1641,2640,1503,2.273000,1.350000,0,0
109,54000,500,2892,1598,2741,1456,2.355000,1.315000,0,0
110,54500,500,2961,1572,2810,1430,2.407000,1.296000,0,0
111,55000,500,3003,1563,2851,1424,2.442000,1.276000,0,0
121,55500,500,1859,2211,1713,2070,1.521000,1.810000,0,0
122,56000,500,1680,2291,1535,2150,1.379000,1.875000,0,0
123,56500,500,1519,2364,1375,2222,1.240000,1.928000,0,0
124,57000,500,1378,2425,1187,2281,1.136000,1.981000,0,0
125,57500,500,1266,2469,1119,2322,1.047000,2.013000,0,0
126,58000,500,1176,2506,1023,2359,0.976000,2.045000,0,0
127,58500,500,1116,2527,958,2383,0.921000,2.062000,0,0
128,59000,500,1087,2528,941,2384,0.900000,2.075000,0,0
129,59500,500,1094,2509,941,2366,0.903000,2.048000,0,0
130,60000,500,1133,2471,992,2325,0.933000,2.015000,0,0
131,60500,500,1210,2429,1065,2288,0.998000,1.981000,0,0
132,61000,500,1318,2370,1169,2227,1.083000,1.934000,0,0
133,61500,500,1450,2302,1299,2160,1.189000,1.890000,0,0
134,62000,500,1601,2219,1456,2078,1.315000,1.817000,0,0
135,62500,500,1764,2126,1616,1983,1.446000,1.741000,0,0
136,63000,500,1934,2034,1787,1895,1.556000,1.667000,0,0
137,63500,500,2115,1949,1966,1808,1.727000,1.599000,0,0
138,64000,500,2296,1857,2143,1715,1.868000,1.523000,0,0
139,64500,500,2471,1779,2316,1643,2.009000,1.466000,0,0
140,65000,500,2624,1710,2419,1570,2.135000,1.411000,0,0
141,65500,500,2757,1658,2606,1519,2.163000,1.367000,0,0
142,66000,500,2861,1613,2709,1471,2.323000,1.329000,0,0
143,66500,500,2941,1579,2787,1434,2.389000,1.290000,0,0
144,67000,500,2993,1559,2842,1422,2.428000,1.285000,0,0
145,67500,500,3010,1568,2845,1439,2.449000,1.289000,0,0
146,68000,500,2992,1595,2840,1457,2.428000,1.315000,0,0
147,68500,500,2940,1637,2791,1494,2.391000,1.347000,0,0
157,69000,500,1423,2404,1277,2260,1.170000,1.960000,0,0
158,69500,500,1300,2452,1154,2308,1.072000,1.999000,0,0
159,70000,500,1202,2493,1071,2350,0.994000,2.034000,0,0
160,70500,500,1133,2524,983,2381,0.931000,2.059000,0,0
161,71000,500,1091,2533,925,2384,0.901000,2.065000,0,0
162,71500,500,1088,2521,944,2375,0.899000,2.055000,0,0
163,72000,500,1116,2485,967,2336,0.917000,2.026000,0,0
164,72500,500,1181,2443,1040,2299,0.976000,1.994000,0,0
165,73000,500,1278,2393,1137,2251,1.050000,1.949000,0,0
166,73500,500,1403,2326,1261,2185,1.155000,1.898000,0,0
167,74000,500,1549,2249,1407,2113,1.274000,1.843000,0,0
168,74500,500,1707,2160,1563,2016,1.401000,1.767000,0,0
169,75000,500,1875,2066,1725,1923,1.533000,1.692000,0,0
170,75500,500,2054,1978,1904,1838,1.677000,1.623000,0,0
171,76000,500,2234,2079,2087,1937,1.823000,1.703000,0,0
172,76500,500,2378,2007,2219,1851,1.934000,1.642000,0,0
173,77000,500,2525,2081,2371,1936,2.051000,1.703000,0,0
174,77500,500,2680,2133,2523,1990,2.173000,1.746000,0,0
175,78000,500,2763,2272,2613,2129,2.247000,1.865000,0,0
176,78500,500,2842,2389,2687,2244,2.305000,1.951000,0,0
177,79000,500,2900,2508,2747,2367,2.353000,2.048000,0,0
178,79500,500,2920,2680,2768,2531,2.384000,2.183000,0,0
179,80000,500,2911,2816,2757,2673,2.359000,2.295000,0,0
180,80500,500,2883,2948,2703,2805,2.338000,2.403000,0,0
181,81000,500,2818,3068,2669,2930,2.291000,2.494000,0,0
182,81500,500,2726,3202,2559,3071,2.204000,2.592000,0,0
183,82000,500,2608,3313,2449,3202,2.117000,2.678000,0,0
184,82500,500,2475,3400,2323,3302,2.013000,2.744000,0,0
185,83000,500,2334,3435,2182,3346,1.894000,2.769000,0,0
186,83500,500,2182,3470,2031,3393,1.778000,2.795000,0,0
196,84000,500,1184,2167,1040,2020,0.977000,1.771000,0,0
197,84500,500,1218,2034,1077,1892,1.008000,1.669000,0,0
198,85000,500,1289,1916,1139,1776,1.062000,1.573000,0,0
199,85500,500,1399,1774,1255,1633,1.149000,1.461000,0,0
200,86000,500,1528,1645,1381,1504,1.259000,1.354000,0,0
201,86500,500,1668,1559,1523,1418,1.359000,1.284000,0,0
202,87000,500,1814,1528,1673,1394,1.487000,1.261000,0,0
203,87500,500,1967,1503,1815,1360,1.611000,1.238000,0,0
204,88000,500,2136,1501,1983,1362,1.743000,1.238000,0,0
205,88500,500,2306,1541,2150,1397,1.881000,1.271000,0,0
206,89000,500,2464,1632,2320,1488,2.003000,1.341000,0,0
207,89500,500,2598,1739,2443,1601,2.106000,1.431000,0,0
208,90000,500,2711,1843,2551,1705,2.197000,1.516000,0,0
209,90500,500,2815,1924,2661,1786,2.286000,1.578000,0,0
210,91000,500,2885,2060,2732,1915,2.348000,1.687000,0,0
1189,91500,500,2100,2042,1952,1902,1.714000,1.672000,0,0
1190,92000,500,2143,2043,1991,1903,1.748000,1.676000,0,0
1191,92500,500,2183,2045,2039,1904,1.779000,1.675000,0,0
1192,93000,500,2211,2045,2095,1905,1.804000,1.677000,0,0
1193,93500,500,2234,2041,2087,1900,1.823000,1.675000,0,0
1194,94000,500,2253,2042,2112,1902,1.836000,1.674000,0,0
1195,94500,500,2266,2043,2114,1904,1.852000,1.676000,0,0
1232,95000,500,2190,2045,2037,1904,1.779000,1.676000,0,0
1233,95500,500,2157,2042,2003,1903,1.753000,1.674000,0,0
1234,96000,500,2121,2045,1971,1907,1.716000,1.676000,0,0
1235,96500,500,2080,2043,1886,1904,1.698000,1.676000,0,0
1236,97000,500,2038,2043,1885,1903,1.665000,1.676000,0,0
1237,97500,500,1997,2045,1843,1904,1.632000,1.676000,0,0
