sample_idx,applied_us,dt_us,flags,dac0,dac1,dac2,dac3,adc34,adc35
100,3322806,500,0,1211,2253,2048,2048,1039,2115
101,3332049,500,0,1565,2118,2048,2048,1369,1979
102,3341426,500,0,1935,1986,2048,2048,1655,1849
103,3375798,500,0,2321,1857,2048,2048,1893,1722
104,3385075,500,0,2706,1738,2048,2048,2114,1603
105,3394338,500,0,3062,1627,2048,2048,2309,1488
106,3403732,500,0,3376,1536,2048,2048,2479,1397
107,3412921,500,0,3638,1463,2048,2048,2624,1326
108,3426001,500,0,3844,1401,2048,2048,2736,1259
109,3435676,500,0,3992,1364,2048,2048,2816,1223
110,3444979,500,0,4082,1350,2048,2048,2823,1210
111,3454247,500,0,4090,1364,2048,2048,2825,1225
112,3463498,500,0,4030,1415,2048,2048,2828,1275
113,3472764,500,0,3893,1479,2048,2048,2764,1341
114,3482468,500,0,3684,1551,2048,2048,2649,1412
115,3506950,500,0,3417,1649,2048,2048,2501,1510
116,3516206,500,0,3107,1762,2048,2048,2337,1619
117,3551394,500,0,2769,1888,2048,2048,2154,1749
118,3560638,500,0,2412,2025,2048,2048,1950,1887
119,3573640,500,0,2033,2149,2048,2048,1730,2006
120,3583399,500,0,1647,2284,2048,2048,1472,2146
121,3592655,500,0,1266,2399,2048,2048,1127,2259
122,3601975,500,0,924,2504,2048,2048,784,2364
123,3611279,500,0,623,2592,2048,2048,481,2450
124,3620594,500,0,385,2654,2048,2048,252,2509
125,3629846,500,0,194,2709,2048,2048,72,2559
126,3639675,500,0,66,2738,2048,2048,0,2601
127,3648874,500,0,3,2740,2048,2048,0,2603
128,3658257,500,0,19,2712,2048,2048,0,2559
129,3671275,500,0,101,2658,2048,2048,0,2514
130,3680797,500,0,266,2598,2048,2048,134,2455
131,3714714,500,0,495,2512,2048,2048,360,2370
132,3724523,500,0,776,2414,2048,2048,638,2273
133,3733788,500,0,1097,2295,2048,2048,946,2160
134,3758425,500,0,1444,2161,2048,2048,1264,2023
135,3767735,500,0,1806,2029,2048,2048,1570,1891
136,3777368,500,0,2191,1906,2048,2048,1815,1773
137,3786618,500,0,2577,1773,2048,2048,2037,1638
138,3796631,500,0,2949,1662,2048,2048,2245,1522
139,3805887,500,0,3275,1563,2048,2048,2425,1421
140,3819276,500,0,3559,1487,2048,2048,2581,1347
141,3828795,500,0,3779,1422,2048,2048,2703,1282
142,3838110,500,0,3949,1374,2048,2048,2798,1234
143,3847633,500,0,4061,1345,2048,2048,2827,1214
144,3857192,500,0,1390,2358,2048,2048,1248,2219
145,3866646,500,0,1033,2465,2048,2048,891,2321
146,3875837,500,0,720,2560,2048,2048,581,2417
147,3885294,500,0,457,2631,2048,2048,322,2486
148,3920471,500,0,250,2689,2048,2048,121,2545
149,3929994,500,0,102,2734,2048,2048,0,2595
150,3939690,500,0,13,2748,2048,2048,0,2608
151,3952945,500,0,5,2730,2048,2048,0,2592
152,3962493,500,0,66,2677,2048,2048,0,2534
153,3971735,500,0,203,2617,2048,2048,72,2477
154,3996373,500,0,411,2545,2048,2048,273,2403
155,4005718,500,0,677,2449,2048,2048,543,2307
156,4015769,500,0,988,2338,2048,2048,847,2198
157,4025075,500,0,1324,2210,2048,2048,1157,2071
158,4034523,500,0,1682,2075,2048,2048,1467,1936
159,4043766,500,0,2061,1949,2048,2048,1735,1809
160,4078061,500,0,2444,2093,2048,2048,1966,1956
161,4087843,500,0,2751,1990,2048,2048,2139,1850
162,4101110,500,0,3064,2097,2048,2048,2310,1955
163,4110669,500,0,3395,2171,2048,2048,2488,2029
164,4119966,500,0,3570,2371,2048,2048,2588,2230
165,4129470,500,0,3739,2539,2048,2048,2678,2390
166,4138729,500,0,3863,2711,2048,2048,2747,2559
167,4148585,500,0,3904,2958,2048,2048,2769,2811
168,4157844,500,0,3886,3155,2048,2048,2758,3017
169,4167296,500,0,3825,3344,2048,2048,2730,3227
170,4176552,500,0,3688,3517,2048,2048,2653,3440
171,4186028,500,0,3492,3710,2048,2048,2542,3732
172,4208437,500,0,3241,3870,2048,2048,2407,4014
173,4219909,500,0,2958,3995,2048,2048,2256,4095
174,4243622,500,0,2657,4045,2048,2048,2095,4095
175,4253220,500,0,2334,4095,2048,2048,1921,4095
176,4262475,500,0,1993,4051,2048,2048,1709,4095
177,4271968,500,0,1644,3991,2048,2048,1469,4095
178,4281178,500,0,1303,3850,2048,2048,1162,3986
179,4316045,500,0,1003,3720,2048,2048,862,3760
180,4325419,500,0,738,3509,2048,2048,599,3442
181,4334967,500,0,523,3299,2048,2048,385,3186
182,4344303,500,0,356,3034,2048,2048,220,2898
183,4357569,500,0,235,2783,2048,2048,108,2643
184,4367065,500,0,190,2488,2048,2048,63,2343
185,4376850,500,0,211,2219,2048,2048,80,2085
186,4386403,500,0,282,2029,2048,2048,146,1894
187,4395607,500,0,434,1859,2048,2048,301,1725
188,4430906,500,0,667,1654,2048,2048,529,1520
189,4440167,500,0,942,1469,2048,2048,800,1334
190,4449607,500,0,1240,1345,2048,2048,1088,1209
191,4459266,500,0,1551,1300,2048,2048,1363,1165
192,4468763,500,0,1878,1265,2048,2048,1619,1132
193,4478040,500,0,2236,1261,2048,2048,1842,1126
194,4506407,500,0,2599,1319,2048,2048,2059,1185
195,4515851,500,0,2934,1450,2048,2048,2238,1312
196,4525550,500,0,3219,1604,2048,2048,2395,1466
197,4534917,500,0,3460,1754,2048,2048,2526,1616
198,4544239,500,0,3681,1871,2048,2048,2653,1731
199,4553624,500,0,3831,2066,2048,2048,2730,1921
200,4563535,500,0,3919,2329,2048,2048,2785,2183
201,4572903,500,0,3930,2574,2048,2048,2781,2426
202,4582301,500,0,3882,2779,2048,2048,2758,2630
203,4591667,500,0,3775,2972,2048,2048,2700,2822
204,4604844,500,0,3604,3196,2048,2048,2608,3059
205,4614610,500,0,3367,3377,2048,2048,2487,3267
206,4624418,500,0,3084,3515,2048,2048,2323,3440
207,4633831,500,0,2778,3599,2048,2048,2160,3565
208,4643090,500,0,2467,3656,2048,2048,1980,3659
209,4653096,500,0,2134,3669,2048,2048,1791,3679
210,4688226,500,0,1773,3626,2048,2048,1567,3617
211,4697712,500,0,1407,3537,2048,2048,1260,3478
212,4706912,500,0,1083,3402,2048,2048,943,3309
213,4716410,500,0,811,3223,2048,2048,669,3102
214,4740261,500,0,594,3015,2048,2048,455,2876
215,4754026,500,0,405,2773,2048,2048,272,2631
216,4789370,500,0,263,2527,2048,2048,130,2384
217,4798684,500,0,183,2266,2048,2048,57,2128
218,4808196,500,0,175,2046,2048,2048,47,1907
219,4817613,500,0,237,1830,2048,2048,95,1697
220,4827150,500,0,378,1610,2048,2048,243,1473
221,4836470,500,0,572,1397,2048,2048,432,1264
222,4845945,500,0,826,1226,2048,2048,688,1091
223,4855258,500,0,1111,1095,2048,2048,966,959
224,4865153,500,0,1422,1000,2048,2048,1247,860
225,4874480,500,0,1748,935,2048,2048,1523,795
226,4883914,500,0,2102,935,2048,2048,1762,795
227,4893766,500,0,2461,984,2048,2048,1971,846
228,4903012,500,0,2811,1085,2048,2048,2174,944
229,4912421,500,0,3111,1224,2048,2048,2337,1087
230,4921664,500,0,3374,1401,2048,2048,2479,1264
231,4931948,500,0,3588,1606,2048,2048,2598,1467
232,4941201,500,0,3774,1804,2048,2048,2701,1664
233,4950605,500,0,3900,2001,2048,2048,2769,1863
234,4960279,500,0,3946,2233,2048,2048,2794,2091
235,4984793,500,0,3914,2488,2048,2048,2773,2338
236,4998000,500,0,3822,2732,2048,2048,2728,2583
237,5007459,500,0,3669,2921,2048,2048,2642,2771
238,5016576,500,0,3462,3096,2048,2048,2526,2955
239,5025944,500,0,3197,3274,2048,2048,2384,3151
