sample,t_us,dt_us,dacV_code,dacI_code,adcV_raw,adcI_raw,adcV_V,adcI_V,clipV,clipI
1,0,0,1655,2233,1496,2086,1.345000,1.822000,0,0
2,500,500,1822,2115,1666,1966,1.483000,1.727000,0,0
3,1000,500,1996,1994,1838,1840,1.624000,1.624000,0,0
4,1500,500,2177,1872,2015,1721,1.767000,1.527000,0,0
5,2000,500,2358,1760,2195,1611,1.910000,1.441000,0,0
6,2500,500,2525,1660,2363,1509,2.042000,1.355000,0,0
7,3000,500,2673,1579,2507,1424,2.163000,1.289000,0,0
8,3500,500,2796,1513,2637,1360,2.266000,1.238000,0,0
9,4000,500,2893,1456,2732,1301,2.346000,1.189000,0,0
10,4500,500,2961,1419,2800,1264,2.398000,1.160000,0,0
11,5000,500,3003,1411,2843,1258,2.432000,1.155000,0,0
12,5500,500,3007,1420,2848,1264,2.436000,1.160000,0,0
13,6000,500,2979,1465,2818,1312,2.412000,1.200000,0,0
14,6500,500,2913,1528,2752,1375,2.359000,1.249000,0,0
15,7000,500,2815,1595,2652,1440,2.281000,1.304000,0,0
16,7500,500,2690,1685,2522,1530,2.175000,1.375000,0,0
17,8000,500,2544,1781,2383,1632,2.061000,1.454000,0,0
18,8500,500,2385,1905,2224,1755,1.934000,1.556000,0,0
19,9000,500,2218,2026,2061,1872,1.802000,1.650000,0,0
20,9500,500,2039,2144,1878,1990,1.656000,1.744000,0,0
21,10000,500,1858,2266,1700,2114,1.512000,1.846000,0,0
22,10500,500,1679,2367,1520,2214,1.367000,1.926000,0,0
23,11000,500,1518,2466,1360,2314,1.238000,2.004000,0,0
24,11500,500,1377,2541,1219,2387,1.122000,2.063000,0,0
25,12000,500,1265,2603,1104,2449,1.031000,2.116000,0,0
26,12500,500,1176,2653,1011,2499,0.957000,2.154000,0,0
27,13000,500,1115,2685,950,2530,0.910000,2.183000,0,0
28,13500,500,1087,2684,925,2529,0.886000,2.179000,0,0
29,14000,500,1094,2662,931,2509,0.892000,2.163000,0,0
30,14500,500,1133,2605,973,2450,0.923000,2.117000,0,0
31,15000,500,1211,2548,1052,2394,0.992000,2.071000,0,0
32,15500,500,1319,2475,1161,2320,1.078000,2.011000,0,0
33,16000,500,1451,2385,1293,2233,1.183000,1.939000,0,0
34,16500,500,1602,2269,1443,2118,1.307000,1.848000,0,0
35,17000,500,1766,2155,1611,2000,1.438000,1.753000,0,0
36,17500,500,1935,2030,1776,1877,1.573000,1.654000,0,0
37,18000,500,2115,1913,1959,1763,1.716000,1.562000,0,0
38,18500,500,2297,1796,2135,1647,1.860000,1.469000,0,0
39,19000,500,2472,1697,2310,1535,2.005000,1.379000,0,0
40,19500,500,2625,1603,2463,1452,2.126000,1.310000,0,0
41,20000,500,2759,1535,2601,1382,2.236000,1.255000,0,0
42,20500,500,2862,1469,2703,1317,2.319000,1.201000,0,0
43,21000,500,2941,1429,2779,1273,2.382000,1.169000,0,0
44,21500,500,2993,1406,2833,1249,2.423000,1.151000,0,0
45,22000,500,3010,1411,2850,1257,2.441000,1.155000,0,0
46,22500,500,2992,1454,2832,1298,2.424000,1.187000,0,0
47,23000,500,2939,1506,2777,1353,2.382000,1.230000,0,0
48,23500,500,2851,1569,2690,1415,2.308000,1.284000,0,0
49,24000,500,2734,1653,2559,1499,2.204000,1.349000,0,0
50,24500,500,2595,1747,2432,1598,2.101000,1.427000,0,0
51,25000,500,2440,1862,2279,1712,1.980000,1.520000,0,0
52,25500,500,2274,1987,2112,1834,1.843000,1.620000,0,0
53,26000,500,2100,2106,1938,1953,1.703000,1.715000,0,0
54,26500,500,1919,2221,1760,2069,1.560000,1.810000,0,0
55,27000,500,1738,2333,1584,2181,1.418000,1.896000,0,0
56,27500,500,1570,2432,1413,2281,1.279000,1.978000,0,0
57,28000,500,1422,2517,1264,2364,1.160000,2.047000,0,0
58,28500,500,1299,2585,1139,2433,1.062000,2.101000,0,0
59,29000,500,1202,2641,1043,2486,0.981000,2.146000,0,0
60,29500,500,1133,2678,966,2521,0.923000,2.175000,0,0
61,30000,500,1092,2687,929,2533,0.898000,2.183000,0,0
62,30500,500,1088,2673,926,2517,0.886000,2.173000,0,0
63,31000,500,1117,2628,953,2478,0.909000,2.136000,0,0
64,31500,500,1181,2573,1015,2419,0.962000,2.092000,0,0
65,32000,500,1278,2505,1118,2352,1.045000,2.037000,0,0
66,32500,500,1404,2416,1244,2261,1.145000,1.964000,0,0
67,33000,500,1550,2312,1392,2161,1.264000,1.883000,0,0
68,33500,500,1709,2194,1554,2039,1.392000,1.786000,0,0
69,34000,500,1877,2069,1717,1916,1.526000,1.686000,0,0
70,34500,500,2055,1951,1894,1799,1.669000,1.591000,0,0
71,35000,500,2236,1835,2077,1684,1.815000,1.496000,0,0
