1,1529,826658041,111811973,
2,2529,1230089828,391852078,
3,3529,1462593141,547998103,
4,4529,1491513601,558319760,
5,5529,1312789608,421367475,
6,6529,951522104,156375602,
7,7529,458450257,-199438284,
8,8529,-97175532,-596101356,
9,9529,-637319247,-977903412,
10,10529,-1086119340,-1291221506,
11,11529,-1380543211,-1492051008,
12,12529,-1479239755,-1552186010,
13,13529,-1368347414,-1463180808,
14,14529,-1063440721,-1237535838,
15,15529,-607342957,-906942281,
16,16529,-64111612,-517831015,
17,17529,489958092,-124851580,
18,18529,977048666,216803241,
19,19529,1328749651,459149017,
20,20529,1495665914,568149057,
21,21529,1454354152,528494555,
22,22529,1210616831,345754940,
23,23529,798686064,45595445,
24,24529,276416205,-329827479,
25,25529,-282841460,-727786752,
26,26529,-800540805,-1092390228,
27,27529,-1203972592,-1372430333,
28,28529,-1436475906,-1528576358,
29,29529,-1465396365,-1538898014,
30,30529,-1286672373,-1401945729,
31,31529,-925404869,-1136953857,
32,32529,-432333022,-781139971,
33,33529,123292768,-384476899,
34,34529,663436483,-2674842,
35,35529,1112236575,310643252,
36,36529,1406660446,511472753,
37,37529,1505356991,571607755,
38,38529,1394464650,482602554,
39,39529,1089557956,256957584,
40,40529,633460192,-73635973,
41,41529,90228847,-462747240,
42,42529,-463840856,-855726674,
43,43529,-950931430,-1197381495,
44,44529,-1302632415,-1439727272,
45,45529,-1469548679,-1548727312,
46,46529,-1428236917,-1509072809,
47,47529,-1184499595,-1326333194,
48,48529,-772568828,-1026173700,
49,49529,-250298969,-650750776,
50,50529,308958695,-252791503,
51,51529,826658041,111811973,
52,52529,1230089828,391852078,
53,53529,1462593141,547998103,
54,54529,1491513601,558319760,
55,55529,1312789608,421367475,
56,56529,951522104,156375602,
57,57529,458450257,-199438284,
58,58529,-97175532,-596101356,
59,59529,-637319247,-977903412,
60,60529,-1086119340,-1291221506,
61,61529,-1380543211,-1492051008,
62,62529,-1479239755,-1552186010,
63,63529,-1368347414,-1463180808,
64,64529,-1063440721,-1237535838,
65,65529,-607342957,-906942281,
66,66529,-64111612,-517831015,
67,67529,489958092,-124851580,
68,68529,977048666,216803241,
69,69529,1328749651,459149017,
70,70529,1495665914,568149057,
71,71529,1454354152,528494555,
72,72529,1210616831,345754940,
73,73529,798686064,45595445,
74,74529,276416205,-329827479,
75,75529,-282841460,-727786752,
76,76529,-800540805,-1092390228,
77,77529,-1203972592,-1372430333,
78,78529,-1436475906,-1528576358,
79,79529,-1465396365,-1538898014,
80,80529,-1286672373,-1401945729,
81,81529,-925404869,-1136953857,
82,82529,-432333022,-781139971,
83,83529,123292768,-384476899,
84,84529,663436483,-2674842,
85,85529,1112236575,310643252,
86,86529,1406660446,511472753,
87,87529,1505356991,571607755,
88,88529,1394464650,482602554,
89,89529,1089557956,256957584,
90,90529,633460192,-73635973,
91,91529,90228847,-462747240,
92,92529,-463840856,-855726674,
93,93529,-950931430,-1197381495,
94,94529,-1302632415,-1439727272,
95,95529,-1469548679,-1548727312,
96,96529,-1428236917,-1509072809,
97,97529,-1184499595,-1326333194,
98,98529,-772568828,-1026173700,
99,99529,-250298969,-650750776,
100,100529,308958695,-252791503,
101,101529,826658041,111811973,
102,102529,1230089828,391852078,
103,103529,1462593141,547998103,
104,104529,1491513601,558319760,
105,105529,1312789608,421367475,
106,106529,951522104,156375602,
107,107529,458450257,-199438284,
108,108529,-97175532,-596101356,
109,109529,-637319247,-977903412,
110,110529,-1086119340,-1291221506,
111,111529,-1380543211,-1492051008,
112,112529,-1479239755,-1552186010,
113,113529,-1368347414,-1463180808,
114,114529,-1063440721,-1237535838,
115,115529,-607342957,-906942281,
116,116529,-64111612,-517831015,
117,117529,489958092,-124851580,
118,118529,977048666,216803241,
119,119529,1328749651,459149017,
120,120529,1495665914,568149057,
121,121529,1454354152,528494555,
122,122529,1210616831,345754940,
123,123529,798686064,45595445,
124,124529,276416205,-329827479,
125,125529,-282841460,-727786752,
126,126529,-800540805,-1092390228,
127,127529,-1203972592,-1372430333,
128,128529,-1436475906,-1528576358,
129,129529,-1465396365,-1538898014,
130,130529,-1286672373,-1401945729,
131,131529,-925404869,-1136953857,
132,132529,-432333022,-781139971,
133,133529,123292768,-384476899,
134,134529,663436483,-2674842,
135,135529,1112236575,310643252,
136,136529,1406660446,511472753,
137,137529,1505356991,571607755,
138,138529,1394464650,482602554,
139,139529,1089557956,256957584,
140,140529,633460192,-73635973,
141,141529,90228847,-462747240,
142,142529,-463840856,-855726674,
143,143529,-950931430,-1197381495,
144,144529,-1302632415,-1439727272,
145,145529,-1469548679,-1548727312,
146,146529,-1428236917,-1509072809,
147,147529,-1184499595,-1326333194,
148,148529,-772568828,-1026173700,
149,149529,-250298969,-650750776,
150,150529,308958695,-252791503,
151,151529,826658041,111811973,
152,152529,1230089828,391852078,
153,153529,1462593141,547998103,
154,154529,1491513601,558319760,
155,155529,1312789608,421367475,
156,156529,951522104,156375602,
157,157529,458450257,-199438284,
158,158529,-97175532,-596101356,
159,159529,-637319247,-977903412,
160,160529,-1086119340,-1291221506,
161,161529,-1380543211,-1492051008,
162,162529,-1479239755,-1552186010,
163,163529,-1368347414,-1463180808,
164,164529,-1063440721,-1237535838,
165,165529,-607342957,-906942281,
166,166529,-64111612,-517831015,
167,167529,489958092,-124851580,
168,168529,977048666,216803241,
169,169529,1328749651,459149017,
170,170529,1495665914,568149057,
171,171529,1454354152,528494555,
172,172529,1210616831,345754940,
173,173529,798686064,45595445,
174,174529,276416205,-329827479,
175,175529,-282841460,-727786752,
176,176529,-800540805,-1092390228,
177,177529,-1203972592,-1372430333,
178,178529,-1436475906,-1528576358,
179,179529,-1465396365,-1538898014,
180,180529,-1286672373,-1401945729,
181,181529,-925404869,-1136953857,
182,182529,-432333022,-781139971,
183,183529,123292768,-384476899,
184,184529,663436483,-2674842,
185,185529,1112236575,310643252,
186,186529,1406660446,511472753,
187,187529,1505356991,571607755,
188,188529,1394464650,482602554,
189,189529,1089557956,256957584,
190,190529,633460192,-73635973,
191,191529,90228847,-462747240,
192,192529,-463840856,-855726674,
193,193529,-950931430,-1197381495,
194,194529,-1302632415,-1439727272,
195,195529,-1469548679,-1548727312,
196,196529,-1428236917,-1509072809,
197,197529,-1184499595,-1326333194,
198,198529,-772568828,-1026173700,
199,199529,-250298969,-650750776,
200,200529,308958695,-252791503,
