time_us,adc_raw
2073484,0
2073985,0
2074484,0
2074985,0
2075484,0
2075984,0
2076485,74
2076984,0
2077485,0
2077984,0
2078484,0
2078984,0
2079484,0
2079985,0
2080484,0
2080985,0
2081484,0
2081984,0
2082485,0
2082985,0
2083485,0
2083985,0
2084484,0
2084985,0
2085484,0
2085985,0
2086484,0
2086985,0
2087484,0
2087984,0
2088484,0
2088984,0
2089485,0
2089985,0
2090484,0
2090984,0
2091485,0
2091985,0
2092484,0
2092985,0
2093485,0
2093985,0
2094484,0
2094984,0
2095484,0
2095984,0
2096484,0
2096984,0
2097484,0
2097985,0
2098484,0
2098984,0
2099484,0
2099984,0
2100484,0
2100984,0
2101485,0
2101984,0
2102484,0
2102984,0
2103484,0
2103985,0
2104484,0
2104984,0
2105485,0
2105985,0
2106484,0
2106984,0
2107485,0
2107984,0
2108484,0
2108985,0
2109484,0
2109984,0
2110484,0
2110984,0
2111485,0
2111984,0
2112485,0
2112985,0
2113484,0
2113984,0
2114484,0
2114985,0
2115484,0
2115985,0
2116484,0
2116984,0
2117485,0
2117985,0
2118484,0
2118984,0
2119484,0
2119984,0
2120484,0
2120984,0
2121485,0
2121985,0
2122484,0
2122984,0
2123485,0
2123984,0
2124484,0
2124984,0
2125484,0
2125984,0
2126484,0
2126984,0
2127484,0
2127985,0
2128484,0
2128984,0
2129485,0
2129984,0
2130484,0
2130985,0
2131484,0
2131984,0
2132484,0
2132985,0
2133484,0
2133984,0
2134484,0
2134984,0
2135484,0
2135985,0
2136484,0
2136984,0
2137485,0
2137984,0
2138484,0
2138985,0
2139484,0
2139984,0
2140484,0
2140984,0
2141484,0
2141984,0
2142484,0
2142984,0
2143485,0
2143984,0
2144484,0
2144984,0
2145485,0
2145985,0
2146484,0
2146985,0
2147484,0
2147984,0
2148485,0
2148984,0
2149484,0
2149984,0
2150485,0
2150985,0
2151484,0
2151985,0
2152484,0
2152985,0
2153484,0
2153984,0
2154485,0
2154984,0
2155485,0
2155985,0
2156484,0
2156984,0
2157485,0
2157985,0
2158484,0
2158984,0
2159484,0
2159984,0
2160485,0
2160984,0
2161484,0
2161985,0
2162484,0
2162985,0
2163485,0
2163985,0
2164484,0
2164985,0
2165485,0
2165984,0
2166484,0
2166985,0
2167484,0
2167984,0
2168485,0
2168984,0
2169485,0
2169985,0
2170484,0
2170984,0
2171484,0
2171984,0
2172485,0
2172985,0
2173485,0
2173985,0
2174484,0
2174984,0
2175485,0
2175984,0
2176485,0
2176985,0
2177484,0
2177984,0
2178485,0
2178984,0
2179484,0
2179984,0
2180484,0
2180985,0
2181484,0
2181984,0
2182485,0
2182985,0
2183485,0
2183985,0
2184484,0
2184984,0
2185484,0
2185984,0
2186485,0
2186985,0
2187484,0
2187984,0
2188485,0
2188985,0
2189484,0
2189984,0
2190485,0
2190984,0
2191484,0
2191984,0
2192484,0
2192984,0
2193485,0
2193984,0
2194484,0
2194984,0
2195484,0
2195984,0
2196485,64
2196985,0
2197484,0
2197985,0
2198484,0
2198984,0
2199484,0
2199985,0
2200484,0
2200984,0
2201485,0
2201985,0
2202484,0
2202984,0
2203484,0
2203985,0
2204484,0
2204984,0
2205484,0
2205985,0
2206484,0
2206984,0
2207484,0
2207985,0
2208484,0
2208985,0
2209484,0
2209985,0
2210484,0
2210984,0
2211484,0
2211984,0
2212484,0
2212985,0
2213484,0
2213985,0
2214484,0
2214984,0
2215484,0
2215984,0
2216485,0
2216985,0
2217484,0
2217984,0
2218484,0
2218984,0
2219484,0
2219984,0
2220485,0
2220984,0
2221484,0
2221985,0
2222485,0
2222985,0
2223484,0
2223985,0
2224485,0
2224985,0
2225484,0
2225984,0
2226485,0
2226984,0
2227484,0
2227985,0
2228484,0
2228984,0
2229485,0
2229985,0
2230484,0
2230984,0
2231485,0
2231985,0
2232484,0
2232984,0
2233485,0
2233984,0
2234485,0
2234985,0
2235484,0
2235984,0
2236484,0
2236984,0
2237484,0
2237984,0
2238485,0
2238984,0
2239485,0
2239984,0
2240484,0
2240985,0
2241484,0
2241984,0
2242485,0
2242985,0
2243484,0
2243984,0
2244484,0
2244985,0
2245484,0
2245984,0
2246484,0
2246985,0
2247484,0
2247984,0
2248485,0
2248985,0
2249484,0
2249984,0
2250485,0
2250984,0
2251484,0
2251984,0
2252485,0
2252985,0
2253484,0
2253984,0
2254484,0
2254985,0
2255484,0
2255984,0
2256484,0
2256985,0
2257484,0
2257984,0
2258485,0
2258984,0
2259485,0
2259984,0
2260485,0
2260985,0
2261484,0
2261984,0
2262484,0
2262984,0
2263485,0
2263984,0
2264484,0
2264985,0
2265484,0
2265985,0
2266484,0
2266985,0
2267484,0
2267985,0
2268484,0
2268985,0
2269484,0
2269985,0
2270484,0
2270985,0
2271484,0
2271984,0
2272484,0
2272984,0
2273484,0
2273984,0
2274485,0
2274985,0
2275484,0
2275984,0
2276484,0
2276984,0
2277484,0
2277985,0
2278484,0
2278984,0
2279485,0
2279984,0
2280484,0
2280984,0
2281485,0
2281985,0
2282485,0
2282985,0
2283484,0
2283984,0
2284485,0
2284984,0
2285484,0
2285984,0
2286485,0
2286984,0
2287484,0
2287984,0
2288484,0
2288984,0
2289485,0
2289984,0
2290484,0
2290984,0
2291484,0
2291984,0
2292485,0
2292984,0
2293484,0
2293984,0
2294484,0
2294984,0
2295485,0
2295985,0
2296484,0
2296984,0
2297485,0
2297984,0
2298485,0
2298985,0
2299484,0
2299984,0
2300484,0
2300985,0
2301484,0
2301984,0
2302485,0
2302984,0
2303484,0
2303984,0
2304484,0
2304984,0
2305485,0
2305984,0
2306484,0
2306985,0
2307484,0
2307984,0
2308484,0
2308985,0
2309484,0
2309985,0
2310484,0
2310984,0
2311484,0
2311984,0
2312485,0
2312984,0
2313484,0
2313984,0
2314484,0
2314985,0
2315484,0
2315984,0
2316485,0
2316984,0
2317484,0
2317984,0
2318485,0
2318985,0
2319484,0
2319984,0
2320485,0
2320984,0
2321484,0
2321985,0
2322484,0
2322984,0
2323485,0
2323985,0
2324484,0
2324984,0
2325485,0
2325985,0
2326484,0
2326984,0
2327485,0
2327985,0
