1,1531,710213005,-143969492,
2,2531,1110198386,51912150,
3,3531,1340556613,161145919,
4,4531,1368934744,168390321,
5,5531,1191346920,72627843,
6,6531,832735022,-112691922,
7,7531,343464955,-361541401,
8,8531,-207746783,-638970389,
9,9531,-743484099,-906014829,
10,10531,-1188504322,-1125169089,
11,11531,-1480305703,-1265653690,
12,12531,-1577905513,-1307737876,
13,13531,-1467596198,-1245511129,
14,14531,-1164870329,-1087712967,
15,15531,-712244965,-856505706,
16,16531,-173289893,-584361696,
17,17531,376300202,-309502754,
18,18531,859337021,-70532010,
19,19531,1207979579,98987815,
20,20531,1373261916,175248161,
21,21531,1331970684,147538441,
22,22531,1089905064,19750511,
23,23531,681062632,-190168297,
24,24531,162863875,-452735464,
25,25531,-391911614,-731074212,
26,26531,-905347258,-986092701,
27,27531,-1305332638,-1181974344,
28,28531,-1535690866,-1291208113,
29,29531,-1564068996,-1298452514,
30,30531,-1386481172,-1202690037,
31,31531,-1027869275,-1017370272,
32,32531,-538599207,-768520793,
33,33531,12612531,-491091805,
34,34531,548349846,-224047365,
35,35531,993370070,-4893105,
36,36531,1285171450,135591496,
37,37531,1382771261,177675682,
38,38531,1272461945,115448936,
39,39531,969736076,-42349227,
40,40531,517110713,-273556487,
41,41531,-21844359,-545700497,
42,42531,-571434455,-820559440,
43,43531,-1054471273,-1059530184,
44,44531,-1403113831,-1229050009,
45,45531,-1568396168,-1305310354,
46,46531,-1527104937,-1277600634,
47,47531,-1285039316,-1149812705,
48,48531,-876196885,-939893896,
49,49531,-357998128,-677326729,
50,50531,196777362,-398987982,
51,51531,710213005,-143969492,
52,52531,1110198386,51912150,
53,53531,1340556613,161145919,
54,54531,1368934744,168390321,
55,55531,1191346920,72627843,
56,56531,832735022,-112691922,
57,57531,343464955,-361541401,
58,58531,-207746783,-638970389,
59,59531,-743484099,-906014829,
60,60531,-1188504322,-1125169089,
61,61531,-1480305703,-1265653690,
62,62531,-1577905513,-1307737876,
63,63531,-1467596198,-1245511129,
64,64531,-1164870329,-1087712967,
65,65531,-712244965,-856505706,
66,66531,-173289893,-584361696,
67,67531,376300202,-309502754,
68,68531,859337021,-70532010,
69,69531,1207979579,98987815,
70,70531,1373261916,175248161,
71,71531,1331970684,147538441,
72,72531,1089905064,19750511,
73,73531,681062632,-190168297,
74,74531,162863875,-452735464,
75,75531,-391911614,-731074212,
76,76531,-905347258,-986092701,
77,77531,-1305332638,-1181974344,
78,78531,-1535690866,-1291208113,
79,79531,-1564068996,-1298452514,
80,80531,-1386481172,-1202690037,
81,81531,-1027869275,-1017370272,
82,82531,-538599207,-768520793,
83,83531,12612531,-491091805,
84,84531,548349846,-224047365,
85,85531,993370070,-4893105,
86,86531,1285171450,135591496,
87,87531,1382771261,177675682,
88,88531,1272461945,115448936,
89,89531,969736076,-42349227,
90,90531,517110713,-273556487,
91,91531,-21844359,-545700497,
92,92531,-571434455,-820559440,
93,93531,-1054471273,-1059530184,
94,94531,-1403113831,-1229050009,
95,95531,-1568396168,-1305310354,
96,96531,-1527104937,-1277600634,
97,97531,-1285039316,-1149812705,
98,98531,-876196885,-939893896,
99,99531,-357998128,-677326729,
100,100531,196777362,-398987982,
101,101531,710213005,-143969492,
102,102531,1110198386,51912150,
103,103531,1340556613,161145919,
104,104531,1368934744,168390321,
105,105531,1191346920,72627843,
106,106531,832735022,-112691922,
107,107531,343464955,-361541401,
108,108531,-207746783,-638970389,
109,109531,-743484099,-906014829,
110,110531,-1188504322,-1125169089,
111,111531,-1480305703,-1265653690,
112,112531,-1577905513,-1307737876,
113,113531,-1467596198,-1245511129,
114,114531,-1164870329,-1087712967,
115,115531,-712244965,-856505706,
116,116531,-173289893,-584361696,
117,117531,376300202,-309502754,
118,118531,859337021,-70532010,
119,119531,1207979579,98987815,
120,120531,1373261916,175248161,
121,121531,1331970684,147538441,
122,122531,1089905064,19750511,
123,123531,681062632,-190168297,
124,124531,162863875,-452735464,
125,125531,-391911614,-731074212,
126,126531,-905347258,-986092701,
127,127531,-1305332638,-1181974344,
128,128531,-1535690866,-1291208113,
129,129531,-1564068996,-1298452514,
130,130531,-1386481172,-1202690037,
131,131531,-1027869275,-1017370272,
132,132531,-538599207,-768520793,
133,133531,12612531,-491091805,
134,134531,548349846,-224047365,
135,135531,993370070,-4893105,
136,136531,1285171450,135591496,
137,137531,1382771261,177675682,
138,138531,1272461945,115448936,
139,139531,969736076,-42349227,
140,140531,517110713,-273556487,
141,141531,-21844359,-545700497,
142,142531,-571434455,-820559440,
143,143531,-1054471273,-1059530184,
144,144531,-1403113831,-1229050009,
145,145531,-1568396168,-1305310354,
146,146531,-1527104937,-1277600634,
147,147531,-1285039316,-1149812705,
148,148531,-876196885,-939893896,
149,149531,-357998128,-677326729,
150,150531,196777362,-398987982,
151,151531,710213005,-143969492,
152,152531,1110198386,51912150,
153,153531,1340556613,161145919,
154,154531,1368934744,168390321,
155,155531,1191346920,72627843,
156,156531,832735022,-112691922,
157,157531,343464955,-361541401,
158,158531,-207746783,-638970389,
159,159531,-743484099,-906014829,
160,160531,-1188504322,-1125169089,
161,161531,-1480305703,-1265653690,
162,162531,-1577905513,-1307737876,
163,163531,-1467596198,-1245511129,
164,164531,-1164870329,-1087712967,
165,165531,-712244965,-856505706,
166,166531,-173289893,-584361696,
167,167531,376300202,-309502754,
168,168531,859337021,-70532010,
169,169531,1207979579,98987815,
170,170531,1373261916,175248161,
171,171531,1331970684,147538441,
172,172531,1089905064,19750511,
173,173531,681062632,-190168297,
174,174531,162863875,-452735464,
175,175531,-391911614,-731074212,
176,176531,-905347258,-986092701,
177,177531,-1305332638,-1181974344,
178,178531,-1535690866,-1291208113,
179,179531,-1564068996,-1298452514,
180,180531,-1386481172,-1202690037,
181,181531,-1027869275,-1017370272,
182,182531,-538599207,-768520793,
183,183531,12612531,-491091805,
184,184531,548349846,-224047365,
185,185531,993370070,-4893105,
186,186531,1285171450,135591496,
187,187531,1382771261,177675682,
188,188531,1272461945,115448936,
189,189531,969736076,-42349227,
190,190531,517110713,-273556487,
191,191531,-21844359,-545700497,
192,192531,-571434455,-820559440,
193,193531,-1054471273,-1059530184,
194,194531,-1403113831,-1229050009,
195,195531,-1568396168,-1305310354,
196,196531,-1527104937,-1277600634,
197,197531,-1285039316,-1149812705,
198,198531,-876196885,-939893896,
199,199531,-357998128,-677326729,
200,200531,196777362,-398987982,
201,201531,70228251,-5074089,
202,202531,82214382,541589768,
203,203531,134412839,1097796145,
204,204531,95008915,1596482309,
205,205531,175656044,1965978167,
206,206531,21769407,2147483647,
207,207531,19059181,2099796239,
208,208531,-126354991,1835254984,
209,209531,-99042026,1395761188,
210,210531,-244392803,829667733,
211,211531,-234005007,214699497,
212,212531,-306861218,-372724039,
213,213531,-245014253,-840501411,
214,214531,-201204388,-1130152037,
215,215531,-168459198,-1203233887,
216,216531,-99075119,-1067218964,
217,217531,-27219965,-726417276,
218,218531,97446781,-231480557,
219,219531,68025777,337902962,
220,220531,136334766,893882660,
221,221531,88228613,1363368830,
222,222531,124960660,1682978531,
223,223531,16198479,1798129502,
224,224531,-32655348,1689379821,
225,225531,-142795470,1364832865,
226,226531,-161652221,882576243,
227,227531,-233641623,300779975,
228,228531,-286948512,-305287192,
229,229531,-286942642,-855191427,
230,230531,-255783315,-1262675783,
231,231531,-194358329,-1476224176,
232,232531,-151243922,-1471740779,
