dev_t_s,dev_t_us,seq,adc_34,adc_35,v_inst,i_inst,v1_mag,i1_mag,v1_angle_deg,i1_angle_deg,vi_angle_deg,fourier_valid,f_est_hz,norm_ready,norm_gain_v,norm_gain_i,oc_51_pickup,oc_50_pickup,oc_51_timer_s,oc_51_active,oc_50_trip,oc_51_trip,oc_trip,dist_line_z_ohm,dist_z1_ohm,dist_z2_ohm,dist_line_angle_deg,dist_z_mag_ohm,dist_z_angle_deg,dist_r_ohm,dist_x_ohm,dist_fault_pct,dist_z2_timer_s,dist_z1_trip,dist_z2_trip,dist_trip,dir67_direction,dir67_angle_deg,dir67_window_deg,dir67_power_w,dir67_prefault_power_w,dir67_power_min_w,dir67_permit,dir67_block_active,uv_pickup,ov_pickup,uv_timer_s,ov_timer_s,uv_trip,ov_trip,voltage_trip_code,cycle_id,cycle_update,quality_flags
29.118492126,29118493,5045,2491,2098,215236.265625000,-3042.428222656,185323.500000000,2369.075683594,-46.455139,142.462891,-171.081970,1,58.302238,1,1.516002059,0.829075456,1428.850708008,1558.746337891,0.000000000,0,0,0,0,52.124961853,41.699970245,62.549957275,86.636002,78.226081848,171.081970,-77.280418396,12.126715660,150.074127197,0.000000000,0,0,0,forward,86.636002,90.000000,-433737824.000000000,-433737824.000000000,10000.000000000,0,0,230622.312500000,281871.718750000,0.000000000,0.000000000,0,0,NONE,215,1,0
29.134960175,29134959,5068,2408,2117,136838.140625000,-2864.425292969,183744.000000000,2369.860839844,-39.206757,145.212952,-175.580292,1,60.731205,1,1.516002059,0.829075456,1428.850708008,1558.746337891,0.000000000,0,0,0,0,52.124961853,41.699970245,62.549957275,86.636002,77.533668518,175.580292,-77.303108215,5.974907398,148.745758057,0.000000000,0,0,0,forward,86.636002,90.000000,-434152832.000000000,-434152832.000000000,10000.000000000,0,0,230622.312500000,281871.718750000,0.000000000,0.000000000,0,0,NONE,216,1,0
29.151403427,29151405,5091,2323,2150,56549.097656250,-2552.885253906,184189.625000000,2397.444335938,-45.753021,140.791199,-173.455780,1,60.805058,1,1.516002059,0.829075456,1428.850708008,1558.746337891,0.000000000,0,0,0,0,52.124961853,41.699970245,62.549957275,86.636002,76.827484131,173.455780,-76.326889038,8.756026268,147.390960693,0.000000000,0,0,0,forward,86.636002,90.000000,-438707104.000000000,-438707104.000000000,10000.000000000,0,0,230622.312500000,281871.718750000,0.000000000,0.000000000,0,0,NONE,217,1,0
29.168567657,29168567,5115,2508,2090,230578.265625000,-3127.960449219,191664.234375000,2358.987304688,-45.129333,144.247681,-170.622986,1,58.268269,1,1.516002059,0.829075456,1428.850708008,1558.746337891,0.000000000,0,0,0,0,52.124961853,41.699970245,62.549957275,86.636002,81.248519897,170.622986,-80.162841797,13.237831116,155.872573853,0.000000000,0,0,0,forward,86.636002,90.000000,-446091936.000000000,-446091936.000000000,10000.000000000,0,0,230622.312500000,281871.718750000,0.000000000,0.000000000,0,0,NONE,218,1,0
29.185043335,29185044,5138,2435,2110,161650.968750000,-2940.535400391,192907.843750000,2384.538574219,-38.639328,147.300140,-174.060547,1,60.690659,1,1.516002059,0.829075456,1428.850708008,1558.746337891,0.000000000,0,0,0,0,52.124961853,41.699970245,62.549957275,86.636002,80.899444580,174.060547,-80.465156555,8.371276855,155.202896118,0.000000000,0,0,0,forward,86.636002,90.000000,-457526816.000000000,-457526816.000000000,10000.000000000,0,0,230622.312500000,281871.718750000,0.000000000,0.000000000,0,0,NONE,219,1,0
29.201496124,29201497,5161,2346,2133,77651.468750000,-2724.271972656,194278.718750000,2375.717529297,-43.092957,142.461182,-174.445862,1,60.779190,1,1.516002059,0.829075456,1428.850708008,1558.746337891,0.000000000,0,0,0,0,52.124961853,41.699970245,62.549957275,86.636002,81.776863098,174.445862,-81.392936707,7.914879799,156.886184692,0.000000000,0,0,0,forward,86.636002,90.000000,-459384448.000000000,-459384448.000000000,10000.000000000,0,0,230622.312500000,281871.718750000,0.000000000,0.000000000,0,0,NONE,220,1,0
29.218660355,29218660,5185,2506,2075,228133.562500000,-3280.096191406,191192.265625000,2376.220214844,-45.134338,146.804749,-168.060913,1,58.264874,1,1.516002059,0.829075456,1428.850708008,1558.746337891,0.000000000,0,0,0,0,52.124961853,41.699970245,62.549957275,86.636002,80.460670471,168.060913,-78.720153809,16.645029068,154.361114502,0.000000000,0,0,0,forward,86.636002,90.000000,-444487200.000000000,-444487200.000000000,10000.000000000,0,0,230622.312500000,281871.718750000,0.000000000,0.000000000,0,0,NONE,221,1,0
29.228815079,29228816,5199,2519,2565,239516.625000000,1405.502563477,109315.750000000,1874.934204102,-87.142967,97.682312,-175.174713,0,98.463959,1,1.516002059,0.829075456,1428.850708008,1558.746337891,0.000000000,0,0,0,0,52.124961853,41.699970245,62.549957275,86.636002,80.460670471,168.060913,-78.720153809,16.645029068,154.361114502,0.000000000,0,0,0,forward,86.636002,90.000000,-444487200.000000000,-444487200.000000000,10000.000000000,0,0,230622.312500000,281871.718750000,0.000000000,0.000000000,0,0,NONE,222,1,64
29.237426758,29237426,5211,2381,2440,110518.734375000,219.613357544,172975.109375000,811.798278809,4.536743,-21.068481,-25.605225,0,116.144020,1,1.516002059,0.829075456,1428.850708008,1558.746337891,0.000000000,0,0,0,0,52.124961853,41.699970245,62.549957275,86.636002,80.460670471,168.060913,-78.720153809,16.645029068,154.361114502,0.000000000,0,0,0,forward,86.636002,90.000000,-444487200.000000000,-444487200.000000000,10000.000000000,0,0,230622.312500000,281871.718750000,0.000000000,0.000000000,0,0,NONE,223,1,64
29.241796494,29241795,5217,2603,2744,318965.625000000,3118.511474609,0.000000000,0.000000000,0.000000,0.000000,0.000000,0,0.000000,1,1.516002059,0.829075456,1428.850708008,1558.746337891,0.000000000,0,0,0,0,52.124961853,41.699970245,62.549957275,86.636002,80.460670471,168.060913,-78.720153809,16.645029068,154.361114502,0.000000000,0,0,0,forward,86.636002,90.000000,-444487200.000000000,-444487200.000000000,10000.000000000,0,0,230622.312500000,281871.718750000,0.000000000,0.000000000,0,0,NONE,224,1,32
29.246013641,29246014,5223,2300,2518,32958.683593750,955.551147461,0.000000000,0.000000000,0.000000,0.000000,0.000000,0,0.000000,1,1.516002059,0.829075456,1428.850708008,1558.746337891,0.000000000,0,0,0,0,52.124961853,41.699970245,62.549957275,86.636002,80.460670471,168.060913,-78.720153809,16.645029068,154.361114502,0.000000000,0,0,0,forward,86.636002,90.000000,-444487200.000000000,-444487200.000000000,10000.000000000,0,0,230622.312500000,281871.718750000,0.000000000,0.000000000,0,0,NONE,225,1,32
29.251638412,29251638,5231,2277,2151,12099.906250000,-2543.097167969,277828.531250000,654.717346191,-51.222122,-9.939758,41.282364,0,177.809387,1,1.516002059,0.829075456,1428.850708008,1558.746337891,0.000000000,0,0,0,0,52.124961853,41.699970245,62.549957275,86.636002,80.460670471,168.060913,-78.720153809,16.645029068,154.361114502,0.000000000,0,0,0,forward,86.636002,90.000000,-444487200.000000000,-444487200.000000000,10000.000000000,0,0,230622.312500000,281871.718750000,0.000000000,0.000000000,0,0,NONE,226,1,64
