sample,t_us,dt_us,dacV_code,dacI_code,adcV_raw,adcI_raw,adcV_V,adcI_V,clipV,clipI
83,41500,500,2385,1905,2225,1758,1.936000,1.556000,0,0
84,42000,500,2218,2026,2063,1874,1.804000,1.653000,0,0
85,42500,500,2039,2144,1882,1994,1.657000,1.748000,0,0
86,43000,500,1858,2266,1703,2117,1.516000,1.848000,0,0
87,43500,500,1679,2367,1520,2218,1.371000,1.926000,0,0
88,44000,500,1518,2466,1360,2317,1.238000,2.007000,0,0
89,44500,500,1377,2541,1218,2391,1.126000,2.065000,0,0
90,45000,500,1265,2603,1104,2452,1.031000,2.116000,0,0
91,45500,500,1176,2653,1013,2502,0.956000,2.155000,0,0
92,46000,500,1115,2685,951,2534,0.908000,2.183000,0,0
93,46500,500,1087,2684,922,2532,0.886000,2.181000,0,0
94,47000,500,1094,2662,932,2511,0.894000,2.165000,0,0
95,47500,500,1133,2605,971,2451,0.924000,2.117000,0,0
96,48000,500,1211,2548,1052,2398,0.989000,2.073000,0,0
97,48500,500,1319,2475,1162,2321,1.077000,2.012000,0,0
98,49000,500,1451,2385,1295,2237,1.184000,1.942000,0,0
99,49500,500,1655,2233,1495,2086,1.349000,1.822000,0,0
100,50000,500,1822,2115,1667,1965,1.480000,1.725000,0,0
101,50500,500,1996,1994,1840,1841,1.624000,1.625000,0,0
102,51000,500,2177,1872,2017,1723,1.767000,1.530000,0,0
103,51500,500,2358,1760,2199,1611,1.912000,1.440000,0,0
104,52000,500,2525,1660,2364,1509,2.048000,1.356000,0,0
105,52500,500,2673,1579,2511,1425,2.166000,1.290000,0,0
106,53000,500,2796,1513,2638,1360,2.267000,1.238000,0,0
107,53500,500,2893,1456,2736,1301,2.346000,1.192000,0,0
108,54000,500,2961,1419,2801,1264,2.402000,1.161000,0,0
109,54500,500,3003,1411,2845,1262,2.429000,1.157000,0,0
110,55000,500,3007,1420,2850,1265,2.440000,1.163000,0,0
111,55500,500,2979,1465,2821,1311,2.415000,1.200000,0,0
112,56000,500,2913,1528,2754,1377,2.360000,1.251000,0,0
113,56500,500,2815,1595,2662,1441,2.284000,1.305000,0,0
114,57000,500,2690,1685,2528,1530,2.178000,1.379000,0,0
115,57500,500,2544,1781,2390,1633,2.063000,1.449000,0,0
116,58000,500,2385,1905,2226,1756,1.935000,1.556000,0,0
117,58500,500,2218,2026,2063,1873,1.805000,1.653000,0,0
118,59000,500,2039,2144,1881,1991,1.657000,1.748000,0,0
119,59500,500,1858,2266,1705,2115,1.512000,1.848000,0,0
